PGC,ra,dec,OType,MType,logD25,logR25,PA,ANames,framework_id,frame_hash
2794845,00 02 02.7,-39 34 04,G,0,0.0,0.0,0.0,0,-1998593721803948999,5176067634273154072
1127136,00 02 02.7,-01 05 10,G,0,0.48,0.28,112.0,0,6526293396284961233,-1509428232433820103
550457,00 02 02.8,-43 18 05,G,0,0.46,0.05,110.0,0,-6995835555693737369,-5423620193438771947
306553,00 02 02.9,-66 12 59,G,0,0.36,0.1,139.0,0,6969934416655539414,-6976713852676548148
124817,00 02 02.9,-39 12 31,G,0,0.38,0.05,164.0,LCRSB235929.5-392914,7245314045658832369,-705906631112756430
228041,00 02 03.0,-80 17 41,G,0,0.7,0.33,64.0,0,-9069415992752951742,7472758804304569272
2156802,00 02 03.0,+39 51 35,G,0,0.64,0.22,53.0,0,3281258688075926250,1442731171170136473
884967,00 02 03.0,-17 20 09,G,0,0.51,0.32,54.0,0,-256990440023437871,3904595446421100803
977300,00 02 03.0,-10 30 38,G,0,0.4,0.07,167.0,0,-5382878871030211741,-6469522388902754995
130018,00 02 03.0,-45 21 30,G,Sc,0.94,0.47,153.0,0,6827146201414912901,886065556043228388
92829,00 02 03.0,-27 01 54,G,Sc,0.81,0.81,0.0,FGCE1881,-280279809819100834,-4823670168103656949
225925,00 02 03.2,-81 14 24,G,0,0.63,0.22,64.0,0,9139107798482611410,-3957879237154004067
782431,00 02 03.2,-25 07 24,G,0,0.54,0.33,82.0,0,131892637226438016,8353670926180585222
146,00 02 03.2,+17 34 26,G,Sd,0.92,0.16,170.0,UGC12916,-5272570183881588512,-3731174738408521128
435613,00 02 03.3,-52 59 52,G,0,0.7,0.53,8.0,0,5840976556058762708,2540292071381745108
1961399,00 02 03.3,+31 43 47,G,0,0.51,0.06,96.0,0,1479065808402079311,2869334223641955728
374323,00 02 03.3,-59 03 08,G,0,0.57,0.41,62.0,0,1142157810065579985,-2261277847956370361
199332,00 02 03.3,-36 07 52,G,0,0.0,0.0,0.0,DUKST349-84,-3591487450681763928,2312280921082436288
949609,00 02 03.4,-12 39 18,G,0,0.64,0.5,46.0,0,-3037379073688500877,7539942559484454333
153,00 02 03.5,-28 34 59,G,SO,0.77,0.34,119.0,ESO409-5              ESO-LV4090050,-1833004420849342087,-3333522176923586640
1171168,00 02 03.6,+00 37 55,G,0,0.52,0.14,123.0,0,-6452693633569368403,-2475413932509366737
1140364,00 02 03.7,-00 33 38,G,0,0.37,0.14,68.0,0,-7811913166596906319,-4877175434241517959
281951,00 02 03.7,-69 00 23,G,0,0.56,0.17,57.0,0,-1648429191806277802,5463423673315255176
124320,00 02 03.7,-41 41 59,G,0,0.0,0.0,0.0,LCRSB235930.1-415840,510044700054361811,-3562569975120305718
151,00 02 03.7,-33 28 03,G,Sa,0.99,0.23,24.0,ESO349-20             MCG-6-01-015          ESO-LV3490200         IRAS23594-3344        DUKST349-8,4510417300897260947,-2176545591584484319
1131674,00 02 03.8,-00 54 26,G,0,0.45,0.22,6.0,0,3997838450989090285,281095126424490101
247428,00 02 03.8,-74 56 15,G,0,0.58,0.25,62.0,0,-6896169640375052218,-3738322856382888563
746621,00 02 03.9,-28 02 09,G,0,0.54,0.45,72.0,0,5640050542166760935,-2907505903233472903
155,00 02 03.9,+12 31 51,G,Sc,0.73,0.37,86.0,CGCG433-17            KUG2359+122,7551941953077350026,1567039496199958663
73211,00 02 04.0,+12 53 29,G,Sc,0.7,0.4,96.0,KUG2359+126           NPM1G+12.0620,7545693308047756908,3272538464814032717
462420,00 02 04.0,-50 50 42,G,0,0.42,0.13,47.0,0,8105935532087622937,-220153224357330143
529051,00 02 04.1,-45 13 35,G,0,0.55,0.32,20.0,0,-1518588704983635547,6825248306482356203
1473991,00 02 04.1,+15 03 16,G,0,0.41,0.16,28.0,0,5703715752339737813,-4485267123781839918
2040579,00 02 04.1,+33 53 30,G,0,0.54,0.36,19.0,0,-4208422248174362206,-823385114736340891
968401,00 02 04.1,-11 13 38,G,0,0.34,0.1,41.0,0,-3387455311886614798,2238369706316881630
290213,00 02 04.2,-67 55 47,G,0,0.34,0.08,4.0,0,4396540437565512452,-5490602635454973298
316056,00 02 04.2,-65 07 30,G,0,0.42,0.13,90.0,0,2066835901530238767,8299039685536206751
247813,00 02 04.2,-74 52 23,G,0,0.45,0.25,164.0,0,-5924628450885180300,-2568595860059915701
94,00 02 04.3,+80 38 32,G,Sc,1.05,0.91,54.0,UGC12905              FGC2563,-2233397711507445872,1694179565263769939
1433457,00 02 04.3,+13 31 56,G,0,0.44,0.13,172.0,0,-5977125697543369844,7870557778086118976
403133,00 02 04.3,-56 06 00,G,0,0.43,0.17,0.0,0,-7358622681032874427,-5446584841386200498
565847,00 02 04.3,-42 17 08,G,0,0.4,0.25,170.0,0,-6073058840980883828,-2992501673511216746
869120,00 02 04.5,-18 21 35,G,0,0.48,0.11,90.0,0,5132972607964404593,-1403186562370282807
599944,00 02 04.6,-39 16 30,G,0,0.46,0.27,36.0,0,3151138003921970884,7928875279861776736
460406,00 02 04.6,-51 02 32,G,0,0.61,0.44,26.0,0,4856913687448211785,-843072972871885603
430532,00 02 04.6,-53 22 54,G,0,0.63,0.03,0.0,0,3218062838373323987,1228048847782408231
584462,00 02 04.7,-40 36 33,G,0,0.48,0.36,113.0,0,-5034821994436675325,967060790063221817
735480,00 02 04.7,-28 56 40,G,0,0.58,0.34,144.0,0,4566436534200060487,-5660262938209400323
2137364,00 02 04.7,+38 49 20,G,0,0.39,0.12,140.0,0,-1138743301967652025,-4310832727984031387
601478,00 02 04.7,-39 08 10,G,0,0.34,0.05,129.0,0,-4169616461340392231,-1961132457088640965
662604,00 02 04.8,-34 25 04,G,0,0.47,0.24,144.0,0,6545514525850165188,6327748190963712970
427196,00 02 04.8,-53 41 32,G,0,0.4,0.16,1.0,0,-8434112786720673563,2683848522320586255
751589,00 02 04.9,-27 40 00,G,0,0.33,0.11,83.0,0,-421882286002341454,-5514748792771836105
803917,00 02 05.0,-23 10 26,G,0,0.39,0.09,78.0,0,-5952702692247981790,-895125200202099464
2048574,00 02 05.0,+34 24 01,G,0,0.71,0.28,112.0,0,-2469545383391246258,-689192540003751569
1824878,00 02 05.0,+28 02 55,G,0,0.53,0.11,163.0,0,-1557541746697198704,5183209244050909153
1666487,00 02 05.1,+22 15 20,G,0,0.42,0.09,39.0,0,-450724995951646010,-7877856129349425734
431443,00 02 05.1,-53 18 18,G,0,0.41,0.06,111.0,0,-8676291305139606504,-2687275197093098034
830089,00 02 05.1,-21 17 55,G,0,0.35,0.14,36.0,0,8142376485200924683,-6500697125620549884
653417,00 02 05.2,-35 05 42,G,0,0.46,0.12,96.0,0,-833228217140663676,1576250087567080403
1294334,00 02 05.2,+06 05 13,G,0,0.4,0.06,104.0,0,-5489357961871165206,368812968695503684
156,00 02 05.4,+16 35 25,G,Irr,0.97,0.23,0.0,IC5377                UGC12918              MCG3-01-013           CGCG456-17,-2804250200254982443,-447141344313123100
150,00 02 05.4,-51 20 57,G,Sc,0.72,0.13,32.0,FAIRALL1065,7549100440649889243,4154289218350391727
