WDS,Disc,Comp,Obs1,Obs2,pa1,pa2,sep1,sep2,mag1,mag2,DM,Notes,n_RAJ2000,ra,dec,_RA.icrs,_DE.icrs,framework_id,frame_hash
00449-4645,KPP2163,0,1984,2016,87,86,17.5,17.7,11.8,13.7,0,V,0,00 44 53.43,-46 44 42.3,00 44 53.43,-46 44 42.3,2797584333311058013,-6212023547048471711
00450+8054,HU 1013,0,1904,2023,161,166,1.1,1.3,9.89,11.11,+80   17,0,0,00 44 57.99,+80 53 43.8,00 44 57.99,+80 53 43.8,-6223484563613648980,-5589600464810581039
00450+6511,TDS1597,0,1991,1991,74,74,1.0,1.0,12.08,12.17,0,X,0,00 45 02.23,+65 11 02.9,00 45 02.23,+65 11 02.9,4711652282574878996,988651256064606611
00450+5833,BKO 138,0,2003,2015,341,343,2.9,3.2,12.5,14.0,0,0,0,00 44 58.00,+58 33 26.6,00 44 58.00,+58 33 26.6,7936918857631116745,8285993450062025144
00450+5515,STI1424,0,1917,2015,349,343,8.5,7.4,12.3,13.3,0,0,0,00 45 01.97,+55 14 39.0,00 45 01.97,+55 14 39.0,-3164077337759073642,3097445925373512403
00450+2210,LDS 869,0,1936,2016,199,197,120.0,122.5,10.7,12.55,0,S,0,00 44 54.83,+22 10 12.2,00 44 54.83,+22 10 12.2,-3273752959387091247,9189154250773297680
00450-0107,LDS5293,0,1960,2016,181,182,34.0,34.9,10.95,16.6,-01   92,0,0,00 45 04.64,-01 08 43.0,00 45 04.64,-01 08 43.0,5367119645532241270,3302824991027498217
00450-0754,SKF 218,DE,1998,2016,45,47,4.1,4.2,10.9,13.9,-08  133,W,0,00 45 01.47,-07 53 43.2,00 45 01.47,-07 53 43.2,-5372100572561457103,-1169712704881786126
00450-7234,OGL  70,AB,2005,2016,273,273,1.8,1.8,17.82,20.03,0,NV,0,00 45 05.82,-72 34 01.8,00 45 05.82,-72 34 01.8,-7569229698359341558,-8974719318576378158
00450-7234,OGL  70,AC,1996,2016,244,246,12.4,12.8,17.82,20.81,0,NY,0,00 45 05.82,-72 34 01.8,00 45 05.82,-72 34 01.8,-121491567828120714,7311872644605942111
00450-7234,OGL  70,BC,1996,2016,244,242,12.4,11.3,20.03,20.81,0,NY,0,00 45 05.43,-72 34 01.7,00 45 05.43,-72 34 01.7,1736308429463457139,-8198336142279790097
00451+6424,WSI  42,0,1999,2021,174,174,6.0,6.0,10.6,10.6,0,0,0,00 45 08.08,+64 23 31.1,00 45 08.08,+64 23 31.1,3361630325270947542,-3462908764811430831
00451+2425,SLW9014,0,1997,2016,209,209,4.2,4.2,16.0,17.0,0,U,0,00 45 06.65,+24 24 34.5,00 45 06.65,+24 24 34.5,4471976913889898435,1627776558459678291
00451+0533,PLQ   8,0,1896,2016,333,336,8.5,8.6,10.14,10.92,+04  108,NV,0,00 45 04.50,+05 33 10.8,00 45 04.50,+05 33 10.8,8657515233499359997,-2866361793884465022
00451-7310,OGL  71,0,2005,2015,295,296,3.6,3.5,15.7,19.06,0,NV,0,00 45 08.60,-73 10 00.1,00 45 08.60,-73 10 00.1,5167485970765251054,-2772663190126793019
00452+6424,STI 123,0,1903,2015,204,204,11.5,11.1,9.57,11.25,+63   89,0,0,00 45 12.85,+64 23 30.7,00 45 12.85,+64 23 30.7,-1827918731194687208,-2912034136763416418
00452+5333,HLD   3,0,1881,2020,55,51,2.7,2.9,9.23,9.55,+52  158,0,0,00 45 11.93,+53 32 54.5,00 45 11.93,+53 32 54.5,2684244335914185563,6366580309735266961
00452+0635,GRV  41,0,1917,2015,52,51,18.0,18.2,11.47,11.77,0,V,0,00 45 14.47,+06 35 11.9,00 45 14.47,+06 35 11.9,5453139248139349802,3183430333455311414
00452+0015,OCC  61,"Aa,Ab",1928,1928,-1,-1,0.1,0.1,7.8,7.8,-00  109,N,0,00 45 10.96,+00 15 11.8,00 45 10.96,+00 15 11.8,-3445522347503376899,-3496191941986776633
00452+0015,LDS 836,AB,1935,2015,43,45,59.0,55.4,7.01,13.85,-00  109,NV,0,00 45 10.96,+00 15 11.8,00 45 10.96,+00 15 11.8,6702133803611399528,-397830680448555904
00452+0015,RAO   4,BC,2012,2016,223,224,1.5,1.6,14.3,18.0,0,N,0,00 45 13.59,+00 15 51.0,00 45 13.59,+00 15 51.0,-7458848347622034532,5510958527793051096
00452-1542,UC  431,0,1998,2015,168,169,15.0,14.7,14.5,15.3,0,V R,0,00 45 11.72,-15 42 27.4,00 45 11.72,-15 42 27.4,5389920281847462067,-3567139701859709928
00452-2856,NSC   4,0,2016,2016,286,286,5.4,5.4,18.0,21.6,0,V,0,00 45 09.91,-28 55 57.2,00 45 09.91,-28 55 57.2,7065190257768959106,-44368320042267481
00453+6801,WFC   4,0,1892,2016,336,334,4.3,4.5,10.78,11.8,+67   65,V,0,00 45 21.34,+68 01 14.1,00 45 21.34,+68 01 14.1,8436217124353319240,-1905517152211482494
00453+5513,DCH 129,"Aa,Ab",2016,2017,246,246,0.6,0.7,5.4,9.9,+54  143,0,0,00 45 17.20,+55 13 17.1,00 45 17.20,+55 13 17.1,-4321466634154815417,4688714003992104059
00453+5513,BU  492,AB,1878,2017,153,173,1.9,1.5,5.42,11.5,+54  143,0,0,00 45 17.20,+55 13 17.1,00 45 17.20,+55 13 17.1,4176326514255037430,-4258490744454193759
00453+5513,BU  492,AC,1909,2015,24,26,88.3,88.6,5.42,11.34,0,0,0,00 45 17.20,+55 13 17.1,00 45 17.20,+55 13 17.1,7673008037913224387,-1141128525996218882
00453+5513,FYM 184,CD,2000,2015,92,91,23.2,23.2,11.3,14.0,0,0,0,00 45 21.65,+55 14 36.9,00 45 21.65,+55 14 36.9,7260364148519773144,-6576553317455087539
00453+5513,FYM 184,DE,2000,2015,129,129,13.7,13.7,14.0,15.3,0,0,0,00 45 24.36,+55 14 36.2,00 45 24.36,+55 14 36.2,3816481970430579445,-4314949864078678176
00453+3448,COU1204,0,1975,2016,70,68,0.7,0.8,10.6,13.4,+34  111,0,0,00 45 17.94,+34 48 20.1,00 45 17.94,+34 48 20.1,-722299964465243359,1394651477326264724
00453+3133,UC  432,0,1997,2021,53,54,26.2,27.8,12.47,13.9,0,V,0,00 45 20.89,+31 33 00.0,00 45 20.89,+31 33 00.0,5400384349739495492,8131233781209978571
00453+1019,STF  58,0,1897,2015,173,170,45.0,46.1,9.18,10.63,+09   84,N,0,00 45 20.29,+10 18 44.8,00 45 20.29,+10 18 44.8,208638992075891674,8821875879886271922
00453+0139,LDS 870,0,1936,2015,242,242,20.0,19.1,14.2,14.5,0,0,0,00 45 17.81,+01 40 43.2,00 45 17.81,+01 40 43.2,8232110946578381933,2821536418166836471
00453-4548,RST  16,0,1929,2016,54,56,1.3,1.4,11.33,12.13,-46  199,0,0,00 45 18.08,-45 47 40.1,00 45 18.08,-45 47 40.1,-8202607790645873320,-2894354528583842435
00453-4811,NSN 225,0,1986,2016,124,125,20.1,19.9,13.9,16.69,0,T,0,00 45 20.85,-48 10 34.3,00 45 20.85,-48 10 34.3,-76248550483496028,5732378516425696300
00454+7935,MLR 371,0,1972,2016,62,59,1.9,2.3,9.5,11.3,0,0,0,00 45 26.89,+79 34 41.9,00 45 26.89,+79 34 41.9,256175356091066824,8656938382481923976
00454+6141,TDS1598,0,1991,1991,265,265,0.5,0.5,11.34,11.55,0,X,0,00 45 26.45,+61 40 58.1,00 45 26.45,+61 40 58.1,-3878597189131645844,-5807897340285073887
00454+6105,TDS1599,0,1991,1991,265,265,0.5,0.5,11.31,11.34,0,X,0,00 45 21.15,+61 05 23.8,00 45 21.15,+61 05 23.8,-3139847693075604776,686597205688849117
00454+3434,ES 2140,0,1925,2016,230,233,2.2,2.2,11.19,11.54,+33  103,0,0,00 45 27.70,+34 33 54.3,00 45 27.70,+34 33 54.3,-8994201835466313442,-5640706043915655357
00454+1422,LDS1079,0,1954,2016,168,168,62.0,62.5,9.79,18.9,+13   99,NV,0,00 45 20.97,+14 21 46.5,00 45 20.97,+14 21 46.5,1792502291060847209,-7269015037681588229
00454-1642,ARA 141,0,1916,2016,93,101,6.4,6.6,10.6,10.7,-17  131,0,0,00 45 20.65,-16 42 06.3,00 45 20.65,-16 42 06.3,-7690687577079573124,5034237394218798481
00454-7413,OGL  72,0,2005,2015,116,113,2.1,2.0,14.76,20.24,0,NV,0,00 45 26.40,-74 13 05.7,00 45 26.40,-74 13 05.7,5313932503952576932,5424772092207391635
00454-7752,KPP2787,0,2015,2016,222,222,1.9,1.9,13.09,14.74,0,T,0,00 45 24.38,-77 52 07.1,00 45 24.38,-77 52 07.1,9034283777470370833,-7186301496760800561
00454-8825,TDS1600,0,1991,1991,62,62,2.2,2.2,12.06,12.1,0,X,0,00 45 26.55,-88 25 21.0,00 45 26.55,-88 25 21.0,-5752871138186077471,-3432957093640963462
00455+4639,UC  433,0,1998,2015,307,307,24.5,24.5,11.5,15.7,0,V R,0,00 45 27.15,+46 38 52.8,00 45 27.15,+46 38 52.8,342405205093923642,-3429428271851757127
00455+4324,BU  865,AB,1880,2016,197,192,1.2,1.3,8.69,9.17,+42  161,0,0,00 45 28.36,+43 24 03.3,00 45 28.36,+43 24 03.3,3109140308075546857,-7720034826431853765
00455+4324,FOX 112,AC,1920,2015,147,144,38.0,36.9,8.69,13.55,0,0,0,00 45 28.36,+43 24 03.3,00 45 28.36,+43 24 03.3,-985246388354199272,1539977097015648134
00455+3953,GRV  42,0,1892,2016,322,323,67.1,67.0,9.39,11.31,+39  171,0,0,00 45 30.27,+39 53 08.2,00 45 30.27,+39 53 08.2,-6021659461434561437,2403304452058356930
00455+3140,HJ  626,AB,1827,2015,330,344,20.0,32.7,8.54,12.22,+30  110,0,0,00 45 27.23,+31 40 08.5,00 45 27.23,+31 40 08.5,6131141349761911555,-2711457867997474985
00455+3140,ABH   4,AC,1987,2015,267,266,78.4,78.7,8.54,15.01,0,U,0,00 45 27.23,+31 40 08.5,00 45 27.23,+31 40 08.5,-3986961039688474563,-8794343215489569114
00455+3140,ABH   4,AD,1987,2016,65,65,118.0,117.1,8.54,14.68,0,S,0,00 45 27.23,+31 40 08.5,00 45 27.23,+31 40 08.5,5612044596665520855,-1350625214050677386
00455+3140,HJ  626,BE,1901,2016,106,120,10.4,8.8,12.22,13.5,0,U,0,00 45 26.54,+31 40 39.9,00 45 26.54,+31 40 39.9,2310611742825371979,49587470210164138
00455+1232,HJ    7,0,1908,2015,308,304,21.1,26.0,10.53,12.2,+11   90,NL,0,00 45 33.34,+12 31 20.0,00 45 33.34,+12 31 20.0,2196003027705541663,2300519859192792079
00455-1253,BUP   8,AB,1901,2015,232,245,78.0,61.7,6.21,13.13,-13  128,N,0,00 45 28.69,-12 52 50.9,00 45 28.69,-12 52 50.9,-6094849994858710445,-2775707152358363869
00455-1253,TNN   2,AC,2004,2016,241,242,4.0,4.1,4.62,10.34,0,NV K,0,00 45 28.69,-12 52 50.9,00 45 28.69,-12 52 50.9,-5214345935960306838,-5679328349351102815
00455-2714,RST1197,0,1932,2016,128,128,0.8,1.1,11.4,13.4,-27  232,0,0,00 45 33.67,-27 13 49.4,00 45 33.67,-27 13 49.4,-997161910897955274,-1593706443298297040
00455-2927,LDS2150,0,1955,2016,63,63,7.0,6.0,12.16,15.0,0,0,0,00 45 25.80,-29 27 33.8,00 45 25.80,-29 27 33.8,1647232243817697306,6599332083668756623
00455-5138,CVN  34,0,2006,2015,206,211,9.2,9.2,7.62,15.9,0,K,0,00 45 28.15,-51 37 33.9,00 45 28.15,-51 37 33.9,1337898836156430444,-1273405395502630225
00455-7443,JSP  11,0,1929,2016,125,125,0.7,0.9,10.25,10.84,-75   61,0,0,00 45 31.17,-74 43 12.0,00 45 31.17,-74 43 12.0,9187299252883094250,645742527233621156
00456+6430,TDS1601,0,1991,1991,90,90,0.5,0.5,11.32,11.35,0,X,0,00 45 37.11,+64 29 51.1,00 45 37.11,+64 29 51.1,242841537663339632,2221595773270891280
00456+5457,TDS1602,0,1991,2007,88,69,0.5,0.4,10.86,10.9,0,0,0,00 45 38.47,+54 57 06.2,00 45 38.47,+54 57 06.2,-6935171301270766835,-4314247470561720076
00456+4519,SMA   7,0,1921,2015,269,273,6.6,9.1,12.18,15.1,0,0,0,00 46 12.07,+45 13 18.9,00 46 12.07,+45 13 18.9,-3693103128987276292,-1733617905960716503
00456+3628,ALI  21,0,1932,1932,103,103,6.5,6.5,12.86,12.89,0,NX B,0,00 45 37.77,+36 27 33.0,00 45 37.77,+36 27 33.0,37574151790862339,-8370199027336532225
00456-2055,HU 1204,0,1906,2015,267,267,1.2,1.5,9.61,12.8,-21  106,S,0,00 45 37.25,-20 54 31.8,00 45 37.25,-20 54 31.8,-9153835961752177366,7792113243916669294
00456-7115,OGL  73,0,2005,2015,226,226,575.4,576.0,17.85,20.73,0,NV,0,00 45 40.44,-71 14 38.6,00 45 40.44,-71 14 38.6,8609500931111681480,-629182357448046284
00456-7331,OGL  74,0,2005,2016,245,246,3.0,3.1,19.22,19.6,0,NV,0,00 45 41.97,-73 31 06.0,00 45 41.97,-73 31 06.0,7770468853135853963,736792460965614376
00456-7704,KPP  61,0,1896,2016,49,47,4.0,3.9,12.5,13.0,0,V,0,00 45 34.75,-77 03 51.1,00 45 34.75,-77 03 51.1,1457317819568984040,8885286119772186172
00457+7459,H N 122,0,1896,2024,160,160,36.6,35.8,5.66,10.57,+74   27,N,0,00 45 39.08,+74 59 17.1,00 45 39.08,+74 59 17.1,6936115864188305689,155599730450315311
00457+4208,SKF 184,0,1998,2016,280,278,2.0,2.1,13.4,13.4,0,0,0,00 45 40.54,+42 08 06.6,00 45 40.54,+42 08 06.6,-5200676874232088406,2937132199691666580
00457+2327,LDS3197,0,1892,2016,66,63,3.7,3.7,11.7,12.3,0,0,0,00 45 41.48,+23 26 11.3,00 45 41.48,+23 26 11.3,6075810683000011091,-8044117433843007303
