toi,ra,dec,st_dist,sky_coord.ra,sky_coord.dec,frame_hash
1233.02,186.574063,-51.363052,64.5978,186.574063,-51.363052,-5035633109669509599
1233.03,186.574063,-51.363052,64.5978,186.574063,-51.363052,562596992518307212
1233.04,186.574063,-51.363052,64.5978,186.574063,-51.363052,-939698364464762038
1234.01,290.57223,26.319493,104.912,290.57223,26.319493,8350675614968871338
1235.01,152.218255,69.27662,39.6345,152.218255,69.27662,-6995120496915336143
1236.01,286.040876,36.632536,159.658,286.040876,36.632536,-4456452829429377830
1237.01,286.638391,39.487904,243.249,286.638391,39.487904,5668106455475002886
1237.02,286.638391,39.487904,243.249,286.638391,39.487904,-3325949941425150214
1238.01,201.382339,68.836068,70.7145,201.382339,68.836068,-3724040126351393467
1238.02,201.382339,68.836068,70.7145,201.382339,68.836068,8744414126126095462
1239.01,158.011286,84.030377,126.903,158.011286,84.030377,-4615488746763460422
124.01,66.58263,-67.806354,809.252,66.58263,-67.806354,1621626370846799450
1205.01,127.128017,-74.954728,309.932,127.128017,-74.954728,-6956923443935962937
1206.01,180.325704,-60.200439,1698.55,180.325704,-60.200439,7394447619872977214
1207.01,116.594329,-64.056009,113.758,116.594329,-64.056009,-6819979807237454538
1208.01,30.508742,-83.227962,134.757,30.508742,-83.227962,423253399356058389
1208.02,30.508742,-83.227962,134.757,30.508742,-83.227962,-6057843066736725790
1208.03,30.508742,-83.227962,134.757,30.508742,-83.227962,28382958153628864
1209.01,73.541918,-70.379109,173.833,73.541918,-70.379109,9154448757049766432
121.01,331.867517,-41.815511,182.169,331.867517,-41.815511,175301545232818624
1210.01,66.221959,-73.333516,144.133,66.221959,-73.333516,-6186131680774745486
1211.01,31.178933,-73.126759,133.335,31.178933,-73.126759,-5240529107850172745
1212.01,87.874157,-70.991808,190.986,87.874157,-70.991808,-768113199410434965
1213.01,163.198824,-67.387472,161.33,163.198824,-67.387472,-4322582928618359828
1214.01,285.049519,-84.448187,107.048,285.049519,-84.448187,4350361833846982381
1215.01,146.87585,-77.296816,34.6633,146.87585,-77.296816,-7427534803733016007
1216.01,87.714849,-75.688563,99.5413,87.714849,-75.688563,1715400774587673125
1217.01,193.260548,-44.09936,463.223,193.260548,-44.09936,-6608642973307783024
125.04,23.593425,-66.676349,111.059,23.593425,-66.676349,-5317099773489729148
