toi,ra,dec,st_dist,sky_coord.ra,sky_coord.dec,framework_id
1202.01,210.427355,-63.852645,818.829,210.427355,-63.852645,-5355515213776284833
1203.01,168.226736,-34.406937,64.9943,168.226736,-34.406937,3760576635852252968
1204.01,169.119109,-60.567675,106.505,169.119109,-60.567675,4401332832544496889
1138.01,291.463084,25.189437,395.12,291.463084,25.189437,7011985076695864148
1139.01,304.034336,31.925687,238.726,304.034336,31.925687,-1767520660695104820
114.01,63.374706,-69.226593,216.526,63.374706,-69.226593,-2968916954736035872
1140.01,264.961539,56.078974,121.182,264.961539,56.078974,-2941892765107997591
1141.01,247.534722,80.307766,97.3391,247.534722,80.307766,135719202299709881
1142.01,290.708965,56.615386,299.294,290.708965,56.615386,6343436656866206435
1143.01,182.538652,77.352264,191.984,182.538652,77.352264,-5549142257751182082
1144.01,297.710176,48.081864,37.7647,297.710176,48.081864,-5509811245556887590
1145.01,291.92142,36.529898,438.395,291.92142,36.529898,3729326641739012766
1146.01,292.286802,30.297329,411.307,292.286802,30.297329,-5165359626682444385
1147.01,266.962207,83.428826,218.258,266.962207,83.428826,8833578158500349569
1148.01,161.909027,71.655727,96.5173,161.909027,71.655727,59505721256241629
1149.01,300.774016,26.892025,632.553,300.774016,26.892025,8857341078786192147
115.01,6.70264,-56.316102,453.808,6.70264,-56.316102,5639387291468307841
1150.01,307.8599,39.938916,204.455,307.8599,39.938916,874194140411671947
1151.01,294.661413,31.2192,136.426,294.661413,31.2192,-4984732271448556694
1152.01,283.489697,37.380825,105.334,283.489697,37.380825,1469117463163222930
1153.01,182.691562,85.705076,147.134,182.691562,85.705076,-7741349517535178657
1218.01,71.484109,-68.761805,135.689,71.484109,-68.761805,866978549754729877
1219.01,72.332562,-67.368745,301.291,72.332562,-67.368745,-6954529216558237596
122.01,332.948236,-58.946085,62.118,332.948236,-58.946085,-2597807468081333527
1220.01,71.650779,-78.561605,273.698,71.650779,-78.561605,-5588054345736849653
1221.01,107.921025,-65.508857,138.411,107.921025,-65.508857,-1373719751611860466
1222.01,99.224785,-63.079384,226.932,99.224785,-63.079384,5061694048199963043
1223.01,117.214876,-63.720125,237.7,117.214876,-63.720125,-3223338559372992837
1224.01,37.197836,-80.899105,37.3312,37.197836,-80.899105,134592342223214224
1224.02,37.197836,-80.899105,37.3312,37.197836,-80.899105,2802745656701064479
1225.01,97.166308,-64.596432,252.615,97.166308,-64.596432,-8311823683130950685
1225.02,97.166308,-64.596432,252.615,97.166308,-64.596432,4796394264839317951
1226.01,103.754836,-69.867129,257.93,103.754836,-69.867129,7835344993501172611
1227.01,186.767363,-72.45185,100.641,186.767363,-72.45185,-2977487807683295510
1228.01,107.843685,-68.83334,272.217,107.843685,-68.83334,-1679951900223022355
1229.01,74.130396,-74.920333,254.584,74.130396,-74.920333,-1653156953482953367
123.01,319.699588,-26.616374,161.498,319.699588,-26.616374,-1498813696144966130
1230.01,118.129594,-83.825063,143.138,118.129594,-83.825063,-1332014356211782508
1231.01,156.74726,-52.467872,27.6227,156.74726,-52.467872,989001281687972116
1232.01,116.501399,-61.879794,328.604,116.501399,-61.879794,-5296579706221793922
1233.01,186.574063,-51.363052,64.5978,186.574063,-51.363052,6774598031703390329
1233.02,186.574063,-51.363052,64.5978,186.574063,-51.363052,-1099142971581516269
1233.03,186.574063,-51.363052,64.5978,186.574063,-51.363052,7200573551786666300
1233.04,186.574063,-51.363052,64.5978,186.574063,-51.363052,2637198772027114406
