PGC,ra,dec,OType,MType,logD25,logR25,PA,ANames,framework_id
598610,00 01 06.3,-39 23 57,G,0,0.51,0.33,173.0,0,2626274592728854344
1844690,00 01 06.4,+28 44 43,G,0,0.44,0.2,146.0,0,-7930254089906925971
978665,00 01 06.4,-10 24 01,G,0,0.5,0.1,46.0,0,8813107978774008081
600007,00 01 06.4,-39 16 11,G,0,0.63,0.53,177.0,0,-242232707933466551
2097028,00 01 06.4,+37 16 58,G,0,0.42,0.11,88.0,0,-3646643169745428502
93036,00 01 06.4,+30 52 48,G,0,0.8,0.5,153.0,FGCA290,-4576455320721072904
83,00 01 06.4,+32 22 37,GM,Sd,0.69,0.38,37.0,KUG2358+320A,5921951782728032726
124803,00 01 06.5,-39 07 33,G,0,0.0,0.0,0.0,LCRSB235832.7-392414,-2358596358142688724
896653,00 01 06.5,-16 33 19,G,0,0.39,0.15,22.0,0,3163150491566110510
438898,00 01 06.5,-52 46 10,G,0,0.39,0.1,156.0,0,1646021294884437976
758351,00 01 06.6,-27 12 19,G,0,0.49,0.28,90.0,0,2005520282112870825
659095,00 01 06.6,-34 40 14,G,0,0.51,0.32,131.0,0,-5325591004628919463
353600,00 01 06.7,-61 38 51,G,0,0.47,0.23,16.0,0,-536134695525270992
605364,00 01 06.7,-38 46 26,G,0,0.42,0.13,26.0,0,-4851400763849597248
476335,00 01 06.7,-49 29 17,G,0,0.31,0.04,0.0,0,-3537153193643482985
84,00 01 06.7,-52 13 06,G,Sbc,0.91,0.47,167.0,ESO193-10             ESO-LV1930100,-7777540358454162167
1219092,00 01 06.8,+02 11 44,G,0,0.33,0.07,50.0,0,875933890519207377
900699,00 01 06.8,-16 14 21,G,0,0.54,0.43,125.0,0,-1973868557543329124
1610026,00 01 06.9,+19 54 58,G,0,0.4,0.24,99.0,0,-6580681275096145770
439200,00 01 07.1,-52 45 03,G,0,0.45,0.19,74.0,0,-7702585681372000520
876561,00 01 07.1,-17 50 39,G,0,0.74,0.25,64.0,0,7229203221696634078
896603,00 01 07.1,-16 33 32,G,0,0.59,0.32,175.0,0,5311031588684185257
610402,00 01 07.1,-38 18 52,G,0,0.61,0.13,67.0,0,-8383465145635912785
1019708,00 01 07.2,-07 23 42,G,0,0.47,0.23,20.0,0,134439382947291038
124804,00 01 07.4,-38 36 51,G,0,0.0,0.0,0.0,LCRSB235833.5-385332,5159969094163309581
124987,00 01 07.4,-44 02 07,G,0,0.0,0.0,0.0,LCRSB235833.6-441848,-8676089236448234656
1281202,00 01 07.4,+05 17 55,G,0,0.76,0.27,91.0,0,78568688146943593
1764819,00 01 07.4,+26 09 13,G,0,0.36,0.14,48.0,0,8747770124606471610
655818,00 01 07.5,-34 54 56,G,0,0.34,0.07,162.0,0,-311954372648615020
734433,00 01 07.5,-29 01 18,G,0,0.42,0.1,11.0,0,6623879184418229572
907495,00 01 07.6,-15 42 39,G,0,0.45,0.09,44.0,0,7943133643182334377
107483,00 01 07.7,-41 02 28,G,0,0.64,0.38,92.0,LCRSB235833.7-411911,-1542655706744682998
228265,00 01 07.7,-80 12 37,G,0,0.63,0.34,176.0,0,-7503298066461535466
85,00 01 07.7,-50 15 50,G,E,0.34,0.06,0.0,DRCG39-58,4265692606216464952
663918,00 01 07.7,-34 19 32,G,0,0.61,0.48,125.0,0,4827452896665836888
400487,00 01 07.8,-56 23 43,G,0,0.54,0.19,148.0,0,-8366778933911350424
636960,00 01 07.8,-36 25 21,G,0,0.37,0.1,105.0,0,-3685802420192767433
516398,00 01 07.9,-46 19 11,G,0,0.39,0.14,109.0,0,7469486072528122954
927982,00 01 07.9,-14 10 51,G,0,0.4,0.23,7.0,0,-2399963346024627509
1485474,00 01 08.0,+15 28 08,G,0,0.44,0.17,57.0,0,-4339723697578710102
355576,00 01 08.0,-61 24 29,G,0,0.32,0.05,0.0,0,-7878170539248365854
133623,00 01 08.1,-24 40 45,G,Sc,0.74,0.17,39.0,0,-5448076253174341153
511367,00 01 08.1,-46 44 05,G,0,0.4,0.06,8.0,0,7351726804181419462
