objID,ra,dec,mode,class,clean,e_RA_ICRS,e_DE_ICRS,umag,gmag,rmag,imag,zmag,e_umag,e_gmag,e_rmag,e_imag,e_zmag,zsp,e_zsp,f_zsp,zph,e_zph,<zph>,Q,SDSS16,Sp-ID,MJD,framework_id
1237676673935016587,45.102608,0.147195,2,3,0,0.113,0.114,23.465,23.064,20.907,20.209,19.453,0.981,0.353,0.075,0.062,0.098,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030024.62+000849.9,0,54466.2109,1919614173573822804
1237676673935081968,45.102607,0.147192,4,3,0,0.11,0.111,23.364,23.028,20.881,20.199,19.417,0.935,0.352,0.075,0.062,0.099,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030024.62+000849.8,0,54466.2113,-3012116728653103947
1237645942900261470,45.09339,0.145331,4,3,0,0.483,0.448,23.125,23.101,23.451,24.529,23.354,0.471,0.23,0.441,0.766,0.759,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030022.41+000843.1,0,51078.4169,5823948092536309921
1237657109821719274,45.092114,0.150124,4,6,0,0.081,0.088,25.586,24.878,24.569,22.213,22.619,0.591,0.537,0.612,0.164,0.599,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030022.10+000900.4,0,52225.3044,-7095777916413831841
1237663891575538392,45.092487,0.150777,4,6,0,0.105,0.085,25.727,24.623,24.478,25.101,20.189,0.791,0.827,0.831,0.613,0.161,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030022.19+000902.7,0,52971.2574,-3922902005043748151
1237663891575603884,45.092472,0.150783,4,6,0,0.118,0.105,26.16,24.852,24.483,25.207,20.285,0.55,0.923,0.83,0.576,0.175,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030022.19+000902.8,0,52971.2578,-3413420383481406998
1237659755537301938,45.100801,0.151549,4,6,0,0.135,0.105,23.728,23.075,23.502,23.06,22.154,0.699,0.19,0.329,0.344,0.629,0.0,0.0,0.0,0.0,0.0,0.0,1,SDSS J030024.19+000905.5,0,52522.4409,-1281847790047969052
1237645942900261706,45.098715,0.15165,2,3,0,0.201,0.129,22.453,24.149,23.536,21.476,21.851,0.357,0.688,0.606,0.15,0.778,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030023.69+000905.9,0,51078.4169,1162070314541739946
1237646647285711520,45.098563,0.151724,2,3,0,0.518,0.097,24.254,23.703,23.24,20.997,21.819,1.371,0.545,0.617,0.148,1.135,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030023.65+000906.2,0,51136.2585,-3640261493970788923
1237653609418457842,45.097854,0.152114,4,3,0,0.333,0.231,25.251,23.746,23.22,21.406,21.758,1.896,0.796,0.976,0.193,1.58,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030023.48+000907.6,0,51875.2236,-4220460312491240700
1237660240848421844,45.09846,0.151755,4,3,0,0.292,0.154,22.519,24.25,22.075,20.126,20.084,1.425,2.249,0.609,0.154,0.672,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030023.63+000906.3,0,52578.3155,-7934537554305383827
1237663238736774009,45.098507,0.151652,2,3,0,0.105,0.169,23.627,23.713,23.646,21.851,21.757,0.793,0.381,0.498,0.161,0.58,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030023.64+000905.9,0,52909.4462,397918326985630370
1237663891575538378,45.098208,0.152017,4,6,0,0.143,0.132,24.172,25.074,23.42,22.012,23.216,1.175,0.918,0.466,0.182,0.842,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030023.56+000907.2,0,52971.2574,-8013430902699870257
1237663891575603757,45.098206,0.151991,4,6,0,0.219,0.124,24.198,25.458,23.401,21.937,23.169,1.187,0.915,0.462,0.173,0.868,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030023.56+000907.1,0,52971.2578,9034387184364836925
1237645942900261043,45.103384,0.153525,2,6,0,0.182,0.09,24.394,24.645,22.719,21.147,20.978,0.746,0.518,0.181,0.067,0.232,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030024.81+000912.6,0,51078.4169,-1048626105865406680
1237645942900261044,45.102564,0.153941,2,3,0,0.086,0.09,24.772,23.721,22.619,21.335,20.538,0.746,0.294,0.164,0.079,0.16,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030024.61+000914.1,0,51078.4169,-3934280129089357933
1237646011639791774,45.103393,0.153512,2,3,0,0.32,0.369,25.116,25.2,23.799,21.602,22.005,1.032,0.708,0.61,0.127,0.612,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030024.81+000912.6,0,51081.4087,-7421485952917614232
1237646011639791775,45.102558,0.153831,2,3,0,0.171,0.178,24.969,24.1,22.769,21.577,21.27,1.218,0.565,0.306,0.144,0.427,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030024.61+000913.7,0,51081.4087,585778910994142378
1237646380984107387,45.103379,0.153508,2,6,0,0.139,0.109,24.711,25.134,22.767,21.293,20.97,1.121,0.688,0.225,0.106,0.338,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030024.81+000912.6,0,51115.3153,-3449095474961608918
1237646380984107388,45.102502,0.153893,2,3,0,0.181,0.233,24.25,23.574,22.881,21.422,20.249,1.104,0.335,0.267,0.128,0.191,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030024.60+000914.0,0,51115.3153,1246802624558019465
1237646509832929671,45.10344,0.153557,2,6,0,0.161,0.219,25.07,24.743,22.856,21.212,22.734,1.029,0.732,0.366,0.138,1.314,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030024.82+000912.8,0,51132.2692,948291548072657450
1237660335342551754,45.103404,0.153368,4,0,0,3.347,0.332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030024.81+000912.1,0,52585.2781,2145294592235921875
1237646647285711067,45.103404,0.153471,2,6,0,0.109,0.127,24.299,23.897,22.71,21.213,21.307,0.797,0.353,0.215,0.09,0.429,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030024.81+000912.4,0,51136.2585,9162930636827683191
1237646647285711068,45.102497,0.153793,2,6,0,0.146,0.153,24.014,25.427,22.835,21.595,20.908,0.714,0.567,0.239,0.125,0.307,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030024.59+000913.6,0,51136.2585,-8843346800950815047
1237646707404308865,45.103467,0.153451,2,6,0,0.165,0.104,25.352,24.758,22.587,21.328,20.832,0.958,0.65,0.236,0.126,0.361,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030024.83+000912.4,0,51138.2529,-434584992287885586
1237646707404308868,45.102471,0.153977,2,3,0,0.279,0.267,25.161,24.219,22.515,21.587,20.856,1.173,0.584,0.255,0.185,0.424,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030024.59+000914.3,0,51138.2529,-7739957333699898544
1237653012456210591,45.103405,0.153551,2,6,0,0.274,0.132,24.869,24.15,22.59,21.175,20.516,1.268,0.57,0.233,0.09,0.227,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030024.81+000912.7,0,51819.4795,3332792240176767936
1237653012456210592,45.102508,0.153898,2,3,0,0.094,0.118,24.471,24.057,23.794,20.933,21.184,1.797,0.757,0.877,0.105,0.58,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030024.60+000914.0,0,51819.4795,-6778712977503771738
1237653609418457353,45.103443,0.153531,2,6,0,0.086,0.084,24.609,24.806,23.177,21.328,22.184,1.009,0.637,0.337,0.093,0.789,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030024.82+000912.7,0,51875.2236,2828677183042496867
1237653609418457354,45.102428,0.15376,2,6,0,0.127,0.121,25.515,24.628,22.214,21.439,20.333,0.791,0.651,0.161,0.113,0.205,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030024.58+000913.5,0,51875.2236,4694765052691524439
1237656551468957963,45.103359,0.153549,2,3,0,0.145,0.075,23.068,24.375,21.999,20.866,20.131,0.719,0.867,0.191,0.095,0.206,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030024.80+000912.7,0,52171.456,-5583715481202561862
1237656551468957964,45.102491,0.153907,2,3,0,0.098,0.105,24.905,24.839,22.946,21.569,21.832,1.019,0.682,0.284,0.116,0.539,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030024.59+000914.0,0,52171.456,-2338065180872136952
1237656603006468304,45.10344,0.153468,2,6,0,0.222,0.164,25.63,25.475,23.163,21.336,21.664,0.702,0.873,0.339,0.106,0.556,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030024.82+000912.4,0,52173.4303,3135918456906920198
1237656603006468305,45.102482,0.153865,2,3,0,0.175,0.151,24.981,25.585,22.058,21.035,20.954,1.347,1.019,0.18,0.113,0.446,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030024.59+000913.9,0,52173.4303,4136190835076291464
1237657109821718981,45.103385,0.153451,2,6,0,0.133,0.122,24.445,23.944,23.106,21.375,21.45,0.873,0.344,0.26,0.08,0.329,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030024.81+000912.4,0,52225.3044,-7898296060167565821
1237657109821718983,45.102427,0.153957,2,3,0,0.308,0.193,25.653,25.0,22.257,21.243,20.527,0.743,0.696,0.174,0.096,0.216,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030024.58+000914.2,0,52225.3044,-5436161703325726304
1237657870033617092,45.103389,0.153523,2,6,0,0.086,0.102,23.734,25.046,22.493,21.406,21.303,0.747,0.608,0.17,0.093,0.306,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030024.81+000912.6,0,52288.1387,867206601732323440
1237657870033617093,45.102502,0.153885,2,3,0,0.216,0.199,24.053,24.121,23.759,21.572,20.612,0.877,0.428,0.471,0.107,0.172,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030024.60+000913.9,0,52288.1387,3951488547372407053
1237659755537301801,45.103422,0.153492,2,6,0,0.083,0.056,25.067,24.014,22.657,21.175,20.527,0.825,0.378,0.156,0.068,0.177,0.0,0.0,0.0,0.0,0.0,0.0,1,SDSS J030024.82+000912.5,0,52522.4409,-3558379320902786709
1237659755537301803,45.102454,0.154063,2,3,0,0.126,0.503,24.41,23.825,22.327,21.198,22.955,1.196,0.44,0.188,0.096,0.976,0.0,0.0,0.0,0.0,0.0,0.0,1,SDSS J030024.58+000914.6,0,52522.4409,3503214074268267352
1237659884371050771,45.103456,0.153579,2,3,0,0.166,0.117,23.579,24.59,21.581,20.533,19.803,1.473,1.273,0.175,0.099,0.212,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030024.82+000912.8,0,52551.4109,7987435145836977897
1237659884371050772,45.102481,0.153875,2,6,0,0.075,0.097,24.756,24.59,23.639,21.548,21.078,1.02,0.604,0.467,0.11,0.286,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030024.59+000913.9,0,52551.4109,9092632313681948632
1237660026134134946,45.103451,0.15352,2,6,0,0.057,0.08,23.483,23.883,22.666,21.242,20.887,0.574,0.303,0.169,0.075,0.249,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030024.82+000912.6,0,52558.4439,3848083989831288699
1237660026134134949,45.102546,0.153924,2,3,0,0.148,0.222,23.849,23.331,21.943,20.97,20.248,1.113,0.307,0.165,0.1,0.254,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030024.61+000914.1,0,52558.4439,-5913550785723955540
1237660240848421055,45.103406,0.153514,2,6,0,0.09,0.061,25.15,24.572,22.346,21.159,20.622,0.783,0.479,0.129,0.067,0.181,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030024.81+000912.6,0,52578.3155,-8594729110359373578
1237660240848421057,45.102473,0.153912,2,3,0,0.135,0.174,25.2,24.504,22.24,21.502,20.374,1.056,0.63,0.169,0.13,0.204,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030024.59+000914.0,0,52578.3155,-2878982478272686037
1237660335342616740,45.103422,0.153507,2,6,0,0.084,0.113,23.089,23.931,22.724,21.404,20.753,0.472,0.358,0.217,0.112,0.279,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030024.82+000912.6,0,52585.2785,8478017054609814973
1237660335342616741,45.102503,0.153928,2,3,0,0.15,0.291,22.603,22.99,22.144,20.776,20.561,0.528,0.293,0.244,0.121,0.438,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030024.60+000914.1,0,52585.2785,-6168279230481818759
