pl_name,hostname,pl_orbper,framework_id,frame_hash
Kepler-438 b,Kepler-438,35.2331929005,-2002960465202419831,-7427534803733016007
Kepler-1828 b,Kepler-1828,10.27377201,6869958897857522825,1715400774587673125
Kepler-1347 b,Kepler-1347,14.00947528,-7355438050449426761,-6608642973307783024
Kepler-32 b,Kepler-32,5.901,-1195033505021418315,-5317099773489729148
Kepler-1133 b,Kepler-1133,11.5555991814,-5415415044077367277,8141159614918308645
Kepler-209 c,Kepler-209,41.74945104,4999551970913647126,2690316489792574227
Kepler-1422 b,Kepler-1422,18.6039268674,6810061365746766500,-4500415787223615162
K2-24 c,K2-24,42.3391,7508524317234720449,-3622022245673793235
Kepler-1576 b,Kepler-1576,6.98471973,-8062174250989922671,7687313792943728739
KOI-351 g,KOI-351,210.5935133,7258810543617854399,2295564310686378232
Kepler-55 e,Kepler-55,4.617534,1188188319688425825,4235082444875643261
Kepler-1748 b,Kepler-1748,5.823445,-7399103867061256441,2800144226719020596
Kepler-229 c,Kepler-229,16.0686523891,-337683168139240936,-5221354490477101199
Kepler-357 c,Kepler-357,0.0,-5369877831966029908,-2831711091026307179
Kepler-745 b,Kepler-745,9.93143556,-8184491030388246274,596438056126260651
Kepler-32 d,Kepler-32,22.78076945,4991845756856828284,8880376023316808975
K2-331 c,K2-331,22.99592,3331971762860030691,838887299108064609
Kepler-149 c,Kepler-149,55.3285813,-7563899268197953769,-8791629407171766129
K2-203 b,K2-203,9.6897,64831814858987665,541060520997657990
Kepler-248 c,Kepler-248,16.23947096,2909035077411776670,3454071262959426365
HIP 75092 b,HIP 75092,926.4,-1406174450772248065,5404637295670297573
Kepler-1391 b,Kepler-1391,54.4101523709,3582887803472198094,-6958373177539556684
Kepler-1438 b,Kepler-1438,2.319426,3557642883325321964,8796312938637458079
Kepler-1129 b,Kepler-1129,24.3398202,9195260421721969202,7635425442269780733
Kepler-105 c,Kepler-105,7.125967,8378869255086499933,-203727521939259836
Kepler-716 c,Kepler-716,3.96996298,6208311453875453282,5932786075868423849
Kepler-259 c,Kepler-259,36.9249531,-3278908547134012094,-5486013074737967501
Kepler-415 b,Kepler-415,4.17634525,2707820333317825699,-4630161599032802035
Kepler-1470 b,Kepler-1470,16.2951259,-7141862023214652883,-3252210858656242540
Kepler-31 d,Kepler-31,87.6451,-3874022885979025724,5288456701110458543
Kepler-109 c,Kepler-109,21.22265,7447212652839532277,2412229375354866272
Kepler-1825 b,Kepler-1825,1.025857703,7943632593087885524,313747916127115337
Kepler-431 c,Kepler-431,8.70312154,-2272430511532823704,228500039784663288
TRAPPIST-1 e,TRAPPIST-1,6.101013,2472964976049412226,6395265987094140742
Kepler-534 c,Kepler-534,7.37862283,6958652982223838613,-5615617412106852584
Kepler-147 b,Kepler-147,12.6119685,2003551881069544626,1005698085801453204
Kepler-562 b,Kepler-562,18.009314436,-5778415812361424659,7364693191600673096
Kepler-607 c,Kepler-607,39.67679977,-5957794759949372856,-3075867858013213727
Kepler-351 b,Kepler-351,37.0548569,-7445847376100265646,-903987685972690946
Kepler-1284 b,Kepler-1284,0.664073806,-3430398101141967148,2224141573831171890
Kepler-1728 b,Kepler-1728,4.783002698,3558844344020303218,6829323744129439040
Kepler-11 e,Kepler-11,31.995525,-5321230966706451321,-9171696733647299204
Kepler-139 e,Kepler-139,1904.0,-6135558648004404942,655883224635516658
HIP 38594 c,HIP 38594,3477.768,7095994719778478850,-1614962613237800348
Kepler-877 b,Kepler-877,18.45847097,7224140884180044511,4013971596413803705
K2-389 b,K2-389,8.583566,347949416142854671,-1100932759127115609
EPIC 220674823 b,EPIC 220674823,0.571282,2334080648030899601,5505929540771381509
eps Eri b,eps Eri,2502.1,2931483587463075570,2805018280529994042
Kepler-1099 b,Kepler-1099,2.16844614,7869900595808055338,-8730979721141628587
Kepler-137 b,Kepler-137,8.43638723,-8858858361807820285,-4526802457456413369
Kepler-58 b,Kepler-58,10.21866016,240581258548220554,2367464969001361839
Kepler-1491 b,Kepler-1491,16.5861762,-8114792741323699786,-6368123536208420997
Kepler-951 b,Kepler-951,0.0,-929719974478696318,-6560942338974984460
Kepler-400 b,Kepler-400,9.024391,-6433465586613046375,-7380567018278503063
Kepler-18 d,Kepler-18,14.859,-5537210185081035329,325072968340029140
Kepler-271 d,Kepler-271,5.24972541,-3337346105898829814,2032142833993102204
Kepler-1913 b,Kepler-1913,14.1959621,-4157237544325926598,3683153268818269927
Kepler-1335 b,Kepler-1335,6.26406846,6119233520172022984,7936999005619828309
