pl_name,hostname,pl_orbper,frame_hash
HD 108874 c,HD 108874,1743.2,-1190404696081087684
Kepler-1892 b,Kepler-1892,6.3312784,8753929834176901125
MOA-2012-BLG-505L b,MOA-2012-BLG-505L,,-1020680013738058984
Kepler-305 b,Kepler-305,5.4871224247,-3408552945950746663
Kepler-1586 b,Kepler-1586,15.6049212,-4452756331336828544
Kepler-183 b,Kepler-183,5.6879831,-4246065659528953986
Kepler-1037 b,Kepler-1037,1.0637892018,168757401857882072
Kepler-132 b,Kepler-132,6.178165,-9006316910270899765
Kepler-1722 b,Kepler-1722,9.178475,929973636327327594
Kepler-209 b,Kepler-209,16.08786478,1912827166550369361
Kepler-690 b,Kepler-690,7.748094374,8198802720468917467
Kepler-280 c,Kepler-280,4.807099588,4686520842024740371
K2-21 c,K2-21,15.50116,-3959247586595877342
Kepler-118 b,Kepler-118,7.51854537,8171209955837008557
Kepler-1809 b,Kepler-1809,3.757294695,1879542395521009101
Kepler-301 c,Kepler-301,5.41908491,-2548187757024581813
Kepler-544 b,Kepler-544,21.41635034,-6226904730580471665
Kepler-1458 b,Kepler-1458,47.9866946936,-1951316617746005453
Kepler-107 e,Kepler-107,14.74913518,-1627794770384749457
Kepler-1392 b,Kepler-1392,15.1413066,-644386970804863715
Kepler-1509 b,Kepler-1509,25.4338197,-2347667239133214719
Kepler-568 b,Kepler-568,11.02347475,1733381809059191871
Kepler-99 b,Kepler-99,4.603578042,-5035633109669509599
HD 202206 c,HD 202206,1260.0,562596992518307212
Kepler-85 c,Kepler-85,12.513,-939698364464762038
Kepler-423 b,Kepler-423,2.68432852,8350675614968871338
TOI-1248 b,TOI-1248,4.3601561,-6995120496915336143
HD 260655 c,HD 260655,5.7060868,-4456452829429377830
TOI-4773 b,TOI-4773,1.7452851,5668106455475002886
Kepler-391 c,Kepler-391,20.4853893,-3325949941425150214
Kepler-58 c,Kepler-58,15.574,-3724040126351393467
Kepler-1898 b,Kepler-1898,4.765620232,8744414126126095462
Kepler-295 b,Kepler-295,12.64506533,-4615488746763460422
Kepler-1272 b,Kepler-1272,51.1309704,1621626370846799450
Kepler-675 b,Kepler-675,2.33743801,-6956923443935962937
Kepler-454 b,Kepler-454,10.573757029,7394447619872977214
K2-240 b,K2-240,6.034,-6819979807237454538
Kepler-1536 b,Kepler-1536,364.758031,423253399356058389
Kepler-952 b,Kepler-952,130.35464842,-6057843066736725790
Kepler-1248 b,Kepler-1248,7.46718958,28382958153628864
Kepler-121 b,Kepler-121,3.17741077,9154448757049766432
Kepler-1886 b,Kepler-1886,24.2758007,175301545232818624
K2-343 c,K2-343,7.67689,-6186131680774745486
HD 73267 b,HD 73267,1257.2,-5240529107850172745
Kepler-887 b,Kepler-887,,-768113199410434965
Kepler-392 b,Kepler-392,5.341788,-4322582928618359828
Kepler-799 b,Kepler-799,133.46084685,4350361833846982381
Kepler-132 b,Kepler-132,6.17817366,-7427534803733016007
Kepler-1721 b,Kepler-1721,4.592393816,1715400774587673125
Kepler-1807 b,Kepler-1807,10.86060638,-6608642973307783024
Kepler-524 c,Kepler-524,1.88897906,-5317099773489729148
Kepler-1146 b,Kepler-1146,2.352265797,8141159614918308645
Kepler-1094 b,Kepler-1094,,2690316489792574227
Kepler-79 b,Kepler-79,13.48458665,-4500415787223615162
Kepler-223 e,Kepler-223,19.7240891,-3622022245673793235
Kepler-1218 b,Kepler-1218,22.9221266,2295564310686378232
Kepler-1630 b,Kepler-1630,509.997402,4235082444875643261
Kepler-438 b,Kepler-438,35.2331929005,2800144226719020596
Kepler-1828 b,Kepler-1828,10.27377201,-5221354490477101199
Kepler-1347 b,Kepler-1347,14.00947528,-2831711091026307179
Kepler-32 b,Kepler-32,5.901,596438056126260651
Kepler-1133 b,Kepler-1133,11.5555991814,8880376023316808975
Kepler-209 c,Kepler-209,41.74945104,838887299108064609
Kepler-1422 b,Kepler-1422,18.6039268674,-8791629407171766129
K2-24 c,K2-24,42.3391,541060520997657990
Kepler-1576 b,Kepler-1576,6.98471973,3454071262959426365
KOI-351 g,KOI-351,210.5935133,5404637295670297573
Kepler-55 e,Kepler-55,4.617534,-6958373177539556684
Kepler-1748 b,Kepler-1748,5.823445,8796312938637458079
Kepler-229 c,Kepler-229,16.0686523891,7635425442269780733
Kepler-357 c,Kepler-357,,-203727521939259836
Kepler-745 b,Kepler-745,9.93143556,5932786075868423849
Kepler-32 d,Kepler-32,22.78076945,-5486013074737967501
K2-331 c,K2-331,22.99592,-4630161599032802035
Kepler-149 c,Kepler-149,55.3285813,-3252210858656242540
K2-203 b,K2-203,9.6897,5288456701110458543
Kepler-248 c,Kepler-248,16.23947096,313747916127115337
HIP 75092 b,HIP 75092,926.4,228500039784663288
Kepler-1391 b,Kepler-1391,54.4101523709,6395265987094140742
Kepler-1438 b,Kepler-1438,2.319426,-5615617412106852584
Kepler-1129 b,Kepler-1129,24.3398202,1005698085801453204
Kepler-105 c,Kepler-105,7.125967,7364693191600673096
Kepler-716 c,Kepler-716,3.96996298,-3075867858013213727
Kepler-259 c,Kepler-259,36.9249531,-903987685972690946
Kepler-415 b,Kepler-415,4.17634525,2224141573831171890
Kepler-1470 b,Kepler-1470,16.2951259,6829323744129439040
Kepler-31 d,Kepler-31,87.6451,-9171696733647299204
Kepler-109 c,Kepler-109,21.22265,655883224635516658
Kepler-1825 b,Kepler-1825,1.025857703,-1614962613237800348
Kepler-431 c,Kepler-431,8.70312154,4013971596413803705
TRAPPIST-1 e,TRAPPIST-1,6.101013,-1100932759127115609
