obsid,status,name,ra,dec,time,detector,grating,exposure,type,pi,public_date,__row,framework_id,frame_hash
13852,archived,Sgr A*,266.41667,-29.00781,56143.1094444444,ACIS-S,HETG,156570.0,GO,Baganoff,56145,6557,-5258829353217869118,7370125203106873675
13853,archived,Sgr A*,266.41667,-29.00781,56122.0258912037,ACIS-S,HETG,73670.0,GO,Baganoff,56128,6558,-6683143521406756104,8678424516587967612
13854,archived,Sgr A*,266.41667,-29.00781,56006.425150463,ACIS-S,HETG,23060.0,GO,Baganoff,56007,6559,6274813113056036611,8682059550867141280
13855,archived,Sgr A*,266.41667,-29.00781,56008.4755787037,ACIS-S,HETG,20060.0,GO,Baganoff,56009,6560,4340796359347125732,-4193933455962052402
13856,archived,Sgr A*,266.41667,-29.00781,56001.364837963,ACIS-S,HETG,40060.0,GO,Baganoff,56002,6561,3857814685033372249,7301858746920354769
13857,archived,Sgr A*,266.41667,-29.00781,56003.3734375,ACIS-S,HETG,39550.0,GO,Baganoff,56004,6562,7148933818902002898,-2762022618386282495
14392,archived,Sgr A*,266.41667,-29.00781,55966.2618402778,ACIS-S,HETG,59250.0,GO,Baganoff,55974,6563,1022754416103469318,-1933782520714237614
14393,archived,Sgr A*,266.41667,-29.00781,55968.4257291667,ACIS-S,HETG,41540.0,GO,Baganoff,55972,6564,-1295064622279220815,-5971842265261258034
14394,archived,Sgr A*,266.41667,-29.00781,55967.1363194444,ACIS-S,HETG,18060.0,GO,Baganoff,55972,6565,-7512554851130632480,-7047799036971501633
14413,archived,Sgr A*,266.41667,-29.00781,56007.2811342593,ACIS-S,HETG,14720.0,GO,Baganoff,56008,6566,-4136599395998075784,-851746025701616271
14414,archived,Sgr A*,266.41667,-29.00781,56009.7421064815,ACIS-S,HETG,20060.0,GO,Baganoff,56011,6567,-8893126695889307886,-7987778754350127182
14427,archived,Sgr A*,266.41667,-29.00781,56053.8340393519,ACIS-S,HETG,80060.0,GO,Baganoff,56056,6568,4796107978668052305,-2698655913932467968
14432,archived,Sgr A*,266.41667,-29.00781,56138.538912037,ACIS-S,HETG,74270.0,GO,Baganoff,56140,6569,-5947338855274641811,6545471700490007670
14438,archived,Sgr A*,266.41667,-29.00781,56065.1865740741,ACIS-S,HETG,25790.0,GO,Baganoff,56068,6570,-3509258010875795145,-1935823091089370992
14439,archived,Sgr A*,266.41667,-29.00781,56145.9284606481,ACIS-S,HETG,111730.0,GO,Baganoff,56152,6571,-1883308250683877985,-3422029041643063334
14460,archived,Sgr A*,266.41667,-29.00781,56117.9396180556,ACIS-S,HETG,24060.0,GO,Baganoff,56119,6572,3893775170485645103,-6937813810056534854
14461,archived,Sgr A*,266.41667,-29.00781,56120.2421875,ACIS-S,HETG,50970.0,GO,Baganoff,56127,6573,-1490643169929079167,766346865619591132
14462,archived,Sgr A*,266.41667,-29.00781,56206.6888194444,ACIS-S,HETG,133390.0,GO,Baganoff,56218,6574,-5071743038159653288,-788265821892303345
14463,archived,Sgr A*,266.41667,-29.00781,56216.0364351852,ACIS-S,HETG,30770.0,GO,Baganoff,56218,6575,6195593611113175201,-71569050104092349
14465,archived,Sgr A*,266.41667,-29.00781,56126.9747453704,ACIS-S,HETG,44350.0,GO,Baganoff,56133,6576,6847096884454869330,-7612369154658172394
14466,archived,Sgr A*,266.41667,-29.00781,56128.5257986111,ACIS-S,HETG,45080.0,GO,Baganoff,56131,6577,3262073312483235306,-5396709262935432457
14468,archived,Sgr A*,266.41667,-29.00781,56229.9875925926,ACIS-S,HETG,146060.0,GO,Baganoff,56236,6578,154754309565574995,-940855960790460674
