main_id,ra,dec,otype,framework_id,frame_hash
[AFR2020] NGC5907 GC236,229.0541,56.36954,GlC,-4301504602245760311,-5240529107850172745
[AFR2020] NGC5907 GC237,228.80792,56.369335,GlC,7138089190822970269,-768113199410434965
[AFR2020] NGC5907 GC238,229.25398,56.367702,GlC,2526104178211829376,-4322582928618359828
[AFR2020] NGC5907 GC239,228.6324,56.366535000000006,GlC,-2227847872793155225,4350361833846982381
[AFR2020] NGC5907 GC240,228.94588,56.531155,GlC,2142148443131010115,-7427534803733016007
[AFR2020] NGC5907 GC241,228.66086,56.438934,GlC,3403535899180287172,1715400774587673125
[AFR2020] NGC5907 GC242,228.91412,56.533012,GlC,6986651008547939010,-6608642973307783024
[AFR2020] NGC5907 GC243,228.88458,56.528954,GlC,3902985014689187986,-5317099773489729148
[AFR2020] NGC5907 GC244,229.11656,56.524994,GlC,8796087532706640103,8141159614918308645
[AFR2020] NGC5907 GC245,228.81285,56.521534,GlC,5660708941488863164,2690316489792574227
[AFR2020] NGC5907 GC246,228.99553,56.523327,GlC,-534356264768348903,-4500415787223615162
[AFR2020] NGC5907 GC247,229.11101,56.52349999999999,GlC,3001729382322155483,-3622022245673793235
