obsid,status,name,ra,dec,time,detector,grating,exposure,type,pi,public_date,__row
14394,archived,Sgr A*,266.41667,-29.00781,55967.1363194444,ACIS-S,HETG,18060.0,GO,Baganoff,55972,6565
14413,archived,Sgr A*,266.41667,-29.00781,56007.2811342593,ACIS-S,HETG,14720.0,GO,Baganoff,56008,6566
14414,archived,Sgr A*,266.41667,-29.00781,56009.7421064815,ACIS-S,HETG,20060.0,GO,Baganoff,56011,6567
14427,archived,Sgr A*,266.41667,-29.00781,56053.8340393519,ACIS-S,HETG,80060.0,GO,Baganoff,56056,6568
14432,archived,Sgr A*,266.41667,-29.00781,56138.538912037,ACIS-S,HETG,74270.0,GO,Baganoff,56140,6569
14438,archived,Sgr A*,266.41667,-29.00781,56065.1865740741,ACIS-S,HETG,25790.0,GO,Baganoff,56068,6570
14439,archived,Sgr A*,266.41667,-29.00781,56145.9284606481,ACIS-S,HETG,111730.0,GO,Baganoff,56152,6571
14460,archived,Sgr A*,266.41667,-29.00781,56117.9396180556,ACIS-S,HETG,24060.0,GO,Baganoff,56119,6572
14461,archived,Sgr A*,266.41667,-29.00781,56120.2421875,ACIS-S,HETG,50970.0,GO,Baganoff,56127,6573
14462,archived,Sgr A*,266.41667,-29.00781,56206.6888194444,ACIS-S,HETG,133390.0,GO,Baganoff,56218,6574
14463,archived,Sgr A*,266.41667,-29.00781,56216.0364351852,ACIS-S,HETG,30770.0,GO,Baganoff,56218,6575
14465,archived,Sgr A*,266.41667,-29.00781,56126.9747453704,ACIS-S,HETG,44350.0,GO,Baganoff,56133,6576
14466,archived,Sgr A*,266.41667,-29.00781,56128.5257986111,ACIS-S,HETG,45080.0,GO,Baganoff,56131,6577
14468,archived,Sgr A*,266.41667,-29.00781,56229.9875925926,ACIS-S,HETG,146060.0,GO,Baganoff,56236,6578
15568,archived,Sgr A*,266.41667,-29.00781,56218.3717939815,ACIS-S,HETG,36060.0,GO,Baganoff,56222,6579
15570,archived,Sgr A*,266.41667,-29.00781,56225.1463310185,ACIS-S,HETG,68710.0,GO,Baganoff,56229,6580
14941,archived,Sgr A*,266.41667,-29.00781,56388.0571759259,ACIS-I,NONE,20080.0,GO,Baganoff,56754,6581
14942,archived,Sgr A*,266.41667,-29.00781,56396.6540277778,ACIS-I,NONE,20090.0,GO,Baganoff,56763,6582
14943,archived,Sgr A*,266.41667,-29.00781,56582.6527546296,ACIS-S,NONE,20070.0,GO,Baganoff,56948,6583
14944,archived,Sgr A*,266.41667,-29.00781,56555.2929398148,ACIS-S,NONE,20070.0,GO,Baganoff,56923,6584
14945,archived,Sgr A*,266.41667,-29.00781,56535.4247569444,ACIS-S,NONE,20070.0,GO,Baganoff,56903,6585
14946,archived,Sgr A*,266.41667,-29.00781,56475.2837615741,ACIS-S,NONE,20070.0,GO,Baganoff,56841,6586
16210,archived,Sgr A*,266.41667,-29.00781,56811.1237962963,ACIS-S,NONE,18770.0,GO,Haggard,56875,6587
16211,archived,Sgr A*,266.41667,-29.00781,56730.4287037037,ACIS-S,NONE,46070.0,GO,Haggard,56762,6588
16212,archived,Sgr A*,266.41667,-29.00781,56751.1009259259,ACIS-S,NONE,50070.0,GO,Haggard,56782,6589
16213,archived,Sgr A*,266.41667,-29.00781,56775.1138657407,ACIS-S,NONE,49570.0,GO,Haggard,56806,6590
16214,archived,Sgr A*,266.41667,-29.00781,56797.0125578704,ACIS-S,NONE,50070.0,GO,Haggard,56829,6591
16215,archived,Sgr A*,266.41667,-29.00781,56854.9463541667,ACIS-S,NONE,45710.0,GO,Haggard,56887,6592
16216,archived,Sgr A*,266.41667,-29.00781,56871.1462268519,ACIS-S,NONE,47070.0,GO,Haggard,56904,6593
16217,archived,Sgr A*,266.41667,-29.00781,56899.2007523148,ACIS-S,NONE,38070.0,GO,Haggard,56933,6594
16218,archived,Sgr A*,266.41667,-29.00781,56950.3481597222,ACIS-S,NONE,40070.0,GO,Haggard,56982,6595
16597,archived,Sgr A*,266.41667,-29.00781,56842.8660416667,ACIS-S,NONE,18150.0,GO,Haggard,56875,6596
15040,archived,Sgr A,266.41684,-29.00781,56437.484375,ACIS-S,HETG,24360.0,GO,Haggard,56491,6597
15651,archived,Sgr A,266.41684,-29.00781,56448.8968865741,ACIS-S,HETG,14110.0,GO,Haggard,56491,6598
15654,archived,Sgr A,266.41684,-29.00781,56452.1841435185,ACIS-S,HETG,9260.0,GO,Haggard,56491,6599
242,archived,SGR A*,266.41667,-29.00778,51442.1124537037,ACIS-I,NONE,46510.0,GTO,Garmire,51851,6601
1561,archived,SGR A*,266.41667,-29.00778,51843.7965277778,ACIS-I,NONE,49840.0,GTO,Garmire,52562,6602
2943,archived,SGR A*,266.41667,-29.00778,52416.9712731481,ACIS-I,NONE,38470.0,GO,Baganoff,52796,6603
3392,archived,SGR A*,266.41667,-29.00778,52419.6354050926,ACIS-I,NONE,168900.0,GO,Baganoff,52796,6604
3393,archived,SGR A*,266.41667,-29.00778,52422.231712963,ACIS-I,NONE,160120.0,GO,Baganoff,52796,6605
3663,archived,SGR A*,266.41667,-29.00778,52418.4924768519,ACIS-I,NONE,38460.0,GO,Baganoff,52796,6606
3665,archived,SGR A*,266.41667,-29.00778,52428.0580208333,ACIS-I,NONE,91120.0,GO,Baganoff,52796,6607
2951,archived,SGR A*,266.41667,-29.00778,52324.601712963,ACIS-I,NONE,12530.0,GTO,Garmire,52692,6608
2952,archived,SGR A*,266.41667,-29.00778,52356.5166666667,ACIS-I,NONE,12020.0,GTO,Garmire,52727,6609
2953,archived,SGR A*,266.41667,-29.00778,52383.4573958333,ACIS-I,NONE,11940.0,GTO,Garmire,52754,6610
2954,archived,SGR A*,266.41667,-29.00778,52401.3917013889,ACIS-I,NONE,12620.0,GTO,Garmire,52772,6611
3549,archived,SGR A*,266.41667,-29.00778,52809.7693402778,ACIS-I,NONE,25120.0,GTO,Garmire,53179,6612
4683,archived,Sgr A*,266.41667,-29.00778,53191.9389699074,ACIS-I,NONE,50180.0,GTO,Garmire,53564,6613
4684,archived,Sgr A*,266.41667,-29.00778,53192.9367361111,ACIS-I,NONE,50180.0,GTO,Garmire,53566,6614
