obsid,status,name,ra,dec,time,detector,grating,exposure,type,pi,public_date,__row,frame_hash
1561,archived,SGR A*,266.41667,-29.00778,51843.7965277778,ACIS-I,NONE,49840.0,GTO,Garmire,52562,6602,5580807130686750644
2943,archived,SGR A*,266.41667,-29.00778,52416.9712731481,ACIS-I,NONE,38470.0,GO,Baganoff,52796,6603,5679029101054381767
3392,archived,SGR A*,266.41667,-29.00778,52419.6354050926,ACIS-I,NONE,168900.0,GO,Baganoff,52796,6604,-5063861876964049478
3393,archived,SGR A*,266.41667,-29.00778,52422.231712963,ACIS-I,NONE,160120.0,GO,Baganoff,52796,6605,5127534145678445189
3663,archived,SGR A*,266.41667,-29.00778,52418.4924768519,ACIS-I,NONE,38460.0,GO,Baganoff,52796,6606,1252244461325724290
3665,archived,SGR A*,266.41667,-29.00778,52428.0580208333,ACIS-I,NONE,91120.0,GO,Baganoff,52796,6607,-6830256802794813878
2951,archived,SGR A*,266.41667,-29.00778,52324.601712963,ACIS-I,NONE,12530.0,GTO,Garmire,52692,6608,8283597012621215337
2952,archived,SGR A*,266.41667,-29.00778,52356.5166666667,ACIS-I,NONE,12020.0,GTO,Garmire,52727,6609,1524479774653010989
2953,archived,SGR A*,266.41667,-29.00778,52383.4573958333,ACIS-I,NONE,11940.0,GTO,Garmire,52754,6610,7519809487188921505
2954,archived,SGR A*,266.41667,-29.00778,52401.3917013889,ACIS-I,NONE,12620.0,GTO,Garmire,52772,6611,-5838529150790641695
3549,archived,SGR A*,266.41667,-29.00778,52809.7693402778,ACIS-I,NONE,25120.0,GTO,Garmire,53179,6612,3813949005336038350
4683,archived,Sgr A*,266.41667,-29.00778,53191.9389699074,ACIS-I,NONE,50180.0,GTO,Garmire,53564,6613,-8056846934661105107
4684,archived,Sgr A*,266.41667,-29.00778,53192.9367361111,ACIS-I,NONE,50180.0,GTO,Garmire,53566,6614,8464799888098446513
5360,archived,CXOGC J174540.0-290030,266.41667,-29.00778,53245.502025463,ACIS-I,NONE,5170.0,DDT,Baganoff,53247,6615,8106192570662529878
5950,archived,Sgr A*,266.41667,-29.00778,53575.8315277778,ACIS-I,NONE,49390.0,GO,Baganoff,53942,6616,6480204749128568289
5951,archived,Sgr A*,266.41667,-29.00778,53578.7966782407,ACIS-I,NONE,46410.0,GO,Baganoff,53947,6617,-6857518359080058254
5952,archived,Sgr A*,266.41667,-29.00778,53580.8264699074,ACIS-I,NONE,46290.0,GO,Baganoff,53948,6618,3684907708984530419
5953,archived,Sgr A*,266.41667,-29.00778,53581.8176736111,ACIS-I,NONE,45960.0,GO,Baganoff,53948,6619,5723221764017247725
5954,archived,Sgr A*,266.41667,-29.00778,53583.8437615741,ACIS-I,NONE,18310.0,GO,Baganoff,54300,6620,-72270840252580153
6113,archived,Sgr A*,266.41667,-29.00778,53428.2673726852,ACIS-I,NONE,4920.0,GO,Baganoff,53794,6621,-1704002169552197813
6363,archived,Sgr A*,266.41667,-29.00778,53933.1648611111,ACIS-I,NONE,30150.0,GO,Baganoff,54300,6622,5575757149291813473
6639,archived,Sgr A*,266.41667,-29.00778,53836.2307291667,ACIS-I,NONE,4550.0,GO,Baganoff,54202,6623,4134755827545111460
6640,archived,Sgr A*,266.41667,-29.00778,53858.9342824074,ACIS-I,NONE,5160.0,GO,Baganoff,54225,6624,-2438806867843831643
6641,archived,Sgr A*,266.41667,-29.00778,53887.6713773148,ACIS-I,NONE,5130.0,GO,Baganoff,54255,6625,6096140048595597330
6642,archived,Sgr A*,266.41667,-29.00778,53920.4586805556,ACIS-I,NONE,5170.0,GO,Baganoff,54286,6626,-6132487817395059276
6643,archived,Sgr A*,266.41667,-29.00778,53946.6037152778,ACIS-I,NONE,5050.0,GO,Baganoff,54312,6627,3128955382503836336
6644,archived,Sgr A*,266.41667,-29.00778,53969.2454861111,ACIS-I,NONE,5050.0,GO,Baganoff,54335,6628,-6265917620943251042
6645,archived,Sgr A*,266.41667,-29.00778,54003.5760416667,ACIS-I,NONE,5180.0,GO,Baganoff,54369,6629,5010194772941245146
6646,archived,Sgr A*,266.41667,-29.00778,54037.1439351852,ACIS-I,NONE,5160.0,GO,Baganoff,54402,6630,-8789990224948086847
7554,archived,Sgr A*,266.41667,-29.00778,54142.2609953704,ACIS-I,NONE,5150.0,GO,Baganoff,54508,6631,-1462629671710708579
7555,archived,Sgr A*,266.41667,-29.00778,54184.9548958333,ACIS-I,NONE,5150.0,GO,Baganoff,54551,6632,8489465471464494618
7556,archived,Sgr A*,266.41667,-29.00778,54237.0444328704,ACIS-I,NONE,5040.0,GO,Baganoff,54604,6633,1030295274925706230
7557,archived,Sgr A*,266.41667,-29.00778,54301.1013541667,ACIS-I,NONE,5050.0,GO,Baganoff,54667,6634,-3724231515438722372
7558,archived,Sgr A*,266.41667,-29.00778,54345.84625,ACIS-I,NONE,5040.0,GO,Baganoff,54713,6635,8687535809622103340
7559,archived,Sgr A*,266.41667,-29.00778,54399.4187384259,ACIS-I,NONE,5070.0,GO,Baganoff,54768,6636,-513757140058602929
10556,archived,Sgr A*,266.41667,-29.00778,54969.0964467593,ACIS-I,NONE,114040.0,GO,Baganoff,55338,6637,-9005228651943554561
11843,archived,Sgr A*,266.41667,-29.00778,55329.0912962963,ACIS-I,NONE,79980.0,GTO,Garmire,55698,6638,8715935728024161757
13016,archived,Sgr A*,266.41667,-29.00778,55649.4368402778,ACIS-I,NONE,18070.0,GO,Baganoff,56016,6639,-4538195947412206469
13017,archived,Sgr A*,266.41667,-29.00778,55651.4368402778,ACIS-I,NONE,18060.0,GO,Baganoff,56018,6640,5418991831031143515
15041,archived,Sgr A,266.41667,-29.00775,56500.059849537,ACIS-S,NONE,50070.0,GO,Haggard,56533,6641,2756831349739968113
15042,archived,Sgr A,266.41667,-29.00775,56515.9561574074,ACIS-S,NONE,49420.0,GO,Haggard,56548,6642,-3405514890091598215
15043,archived,Sgr A,266.41667,-29.00775,56549.0026157407,ACIS-S,NONE,50070.0,GO,Haggard,56580,6643,-8641101929916402358
15044,archived,Sgr A,266.41667,-29.00775,56569.7247800926,ACIS-S,NONE,47070.0,GO,Haggard,56603,6644,-3221002987486201742
15045,archived,Sgr A,266.41667,-29.00775,56593.6042476852,ACIS-S,NONE,50070.0,GO,Haggard,56625,6645,6695879725142051205
16508,archived,Sgr A,266.41667,-29.00775,56709.4838078704,ACIS-S,NONE,47870.0,GO,Haggard,56739,6646,202324077830342110
6190,archived,Galactic Center Survey,266.41667,-29.00306,53526.1473958333,HRC-I,NONE,5190.0,GO,Wijnands,53892,6665,-5109413824317511301
6191,archived,Galactic Center Survey,266.41667,-29.00306,53663.7631712963,HRC-I,NONE,4380.0,GO,Wijnands,54029,6666,3459468337640445092
8532,archived,Galactic Center Survey,266.41667,-29.00306,54305.4806365741,HRC-I,NONE,5180.0,GO,Wijnands,54672,6667,3172062483494681398
9036,archived,Galactic Center Survey,266.41667,-29.00306,54662.9430555556,HRC-I,NONE,5180.0,GO,Wijnands,55029,6668,5894361401675002132
9073,archived,Galactic Center Survey,266.41667,-29.00306,54596.9870717593,HRC-I,NONE,5180.0,GO,Wijnands,54963,6669,3515405073173741062
12451,archived,Swift J174535.5-285921,266.39792,-28.98931,55763.2738888889,ACIS-I,NONE,1050.0,TOO,Chakrabarty,56130,6678,2851744789483982963
12949,archived,Sgr A complex,266.49875,-28.97108,55763.3025115741,ACIS-I,NONE,59250.0,GO,Terrier,56140,6681,-1073046478635388796
13438,archived,Sgr A complex,266.49875,-28.97108,55771.231400463,ACIS-I,NONE,67060.0,GO,Terrier,56140,6682,-7416882853108973189
13508,archived,Sgr A complex,266.49875,-28.97108,55761.0577777778,ACIS-I,NONE,31900.0,GO,Terrier,56140,6683,-5155891342492130593
2284,archived,Galactic Center Survey,266.405,-28.9362,52108.6005092593,ACIS-I,NONE,10760.0,GO,Wang,52115,6701,-4034683486327654180
