RA_ICRS,DE_ICRS,Source,e_RA_ICRS,e_DE_ICRS,Plx,e_Plx,PM,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,FG,e_FG,Gmag,FBP,e_FBP,BPmag,FRP,e_FRP,RPmag,BP-RP,RV,e_RV,Vbroad,GRVSmag,QSO,Gal,NSS,XPcont,XPsamp,RVS,EpochPh,EpochRV,MCMCGSP,MCMCMSC,And,Teff,logg,[Fe/H],Dist,A0,HIP,PS1,SDSS13,SKYM2,TYC2,URAT1,AllWISE,APASS9,GSC23,RAVE5,2MASS,RAVE6,RAJ2000,DEJ2000
49.4214924085,5.21148677695,3277717177464320,0.0466,0.0433,0.4349,0.0535,2.592,2.569,0.063,-0.341,0.057,0.914,4411.58363,2.7445,16.57588,2309.2,20.115,16.929893,3004.9,10.23,16.053331,0.876562,,,,,0,0,0,1,0,0,0,0,1,1,0,5435.2,4.5155,-1.6346,1589.0944,0.037,,114250494214894256,1237670015663734784,,,URAT1-477012140,J031741.15+051241.2,,N9VS002325,,03174115+0512413,,49.42148094158,5.2114882935
49.44811544962,5.23373570959,3277854616415488,0.0376,0.037,0.3834,0.0447,8.891,7.799,0.053,-4.269,0.05,1.029,6754.2582,3.5608,16.113422,2921.9,9.9886,16.674368,5443.2,12.306,15.408263,1.266105,,,,,0,0,0,1,0,0,0,0,1,1,0,4919.1,4.139,-0.3101,1731.9264,0.4741,,114280494480950976,1237670015663734784,,,URAT1-477012143,J031747.54+051401.4,15062,N9VS002374,,03174754+0514014,,49.4480806416,5.23375468413
49.42015451163,5.21425800741,3277919040592512,1.1992,1.1066,-0.6415,1.5707,2.752,-1.999,2.228,-1.892,1.661,1.013,98.38367,1.3541,20.70506,70.66,9.7871,20.715603,47.899,5.6544,20.547071,0.168531,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,114250494201957600,1237670015663735296,,,,,,N9VS005629,,,,49.42016343078,5.21426641556
49.42902626819,5.22197460976,3277957695631872,0.0131,0.0112,1.9142,0.0144,36.239,33.933,0.017,-12.72,0.015,1.005,82301.35572,12.698,13.39885,39742.0,36.054,13.84041,60513.0,40.703,12.793265,1.047145,11.07,2.82,,12.582615,0,0,0,1,1,0,0,0,1,1,0,5294.7,4.2934,-0.3345,512.434,0.2712,,114260494289886848,1237670015663734784,,,URAT1-477012141,J031742.95+051319.1,15063,N9VS000284,,03174293+0513192,,49.42887482567,5.22203114102
49.41695701599,5.24409239227,3278026415107712,0.0678,0.0627,2.4122,0.0771,37.459,31.841,0.098,-19.732,0.082,1.126,3276.95713,3.4001,16.89869,639.64,13.074,18.323704,4131.6,13.264,15.707589,2.616115,,,,,0,0,0,1,0,0,0,0,1,1,0,3563.6,4.2711,-0.2722,460.1822,1.1903,,114290494169083440,1237670015663735040,,,URAT1-477012138,J031740.05+051438.8,,N9VS002390,,03174004+0514390,,49.41681490658,5.2441800904
49.43148954939,5.24417079151,3278125198839680,0.5574,0.6077,0.8257,0.6816,3.88,2.986,0.889,-2.478,0.767,1.054,154.74338,1.0029,20.213337,66.571,9.8837,20.780323,138.71,11.48,19.39264,1.387684,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,114290494314773520,1237670015663735296,,,,J031743.55+051439.1,,N9VS002389,,,,49.43147622348,5.24418180649
49.4793791448,5.23742469136,3278198213965568,0.5874,0.5556,-0.5047,0.6718,24.906,-0.268,0.846,-24.905,0.803,4.751,926.25884,8.0792,18.270536,292.69,8.3546,19.172523,1817.3,12.688,16.599342,2.573181,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,114280494793955472,1237670015663800320,,,URAT1-477012151,J031755.05+051414.9,,N9VS002380,,03175505+0514152,,49.47938033902,5.23753537831
49.46822387019,5.24803229085,3278262637794176,0.2219,0.2291,0.3539,0.2637,6.022,3.39,0.33,-4.977,0.302,1.027,388.95252,1.1141,19.212626,205.63,8.8314,19.555832,257.75,9.9965,18.719894,0.835938,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,114290494682218128,1237670015663800320,,,,,,N9VS002397,,,,49.46820874038,5.248054413
49.48304538186,5.2640086341,3278296997730816,0.3116,0.3107,-0.3767,0.3576,1.72,1.24,0.47,-1.192,0.413,1.04,279.86833,1.1834,19.569983,94.891,9.1318,20.39548,263.66,16.308,18.695274,1.700205,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,114310494830627312,1237670015663800576,,,,J031755.93+051550.4,,N9VS005765,,,,49.48303984683,5.26401393072
49.49337326198,5.26017735206,3278400076751104,0.1941,0.188,1.0885,0.224,18.558,-1.929,0.269,-18.457,0.246,1.052,616.08637,1.4066,18.713263,148.81,12.291,19.906939,663.42,12.647,17.69343,2.213509,,,,,0,0,0,0,0,0,0,0,1,0,0,3394.5,4.6192,-0.9227,512.416,0.0206,,114310494933722736,1237670015663800576,,,,J031758.40+051536.7,,N9VS002424,,03175841+0515371,,49.49338187289,5.26025938482
49.46484385177,5.25288529509,3278473091705216,0.0318,0.0301,0.4082,0.0359,2.747,-2.52,0.046,1.095,0.041,0.921,9201.51095,4.0109,15.777719,4814.7,22.026,16.132113,6392.9,20.94,15.233645,0.898467,,,,,0,0,0,1,0,0,0,0,1,1,0,5466.3,4.2437,-1.6749,1671.0532,0.0941,,114300494648503952,1237670015663800320,,,URAT1-477012148,J031751.56+051510.3,15064,N9VS002408,,03175156+0515104,,49.46485509783,5.25288042896
49.46004772012,5.25623452458,3278473091705088,0.1395,0.1323,2.638,0.1591,17.304,-6.403,0.2,-16.076,0.178,1.047,966.33928,1.9448,18.224543,206.08,15.318,19.553436,1147.3,10.121,17.098679,2.454758,,,,,0,0,0,0,0,0,0,0,1,1,0,3442.2,4.6324,-0.9635,347.1032,0.7385,,114300494600588000,1237670015663800576,,,URAT1-477012145,J031750.41+051522.4,,N9VS002413,,03175042+0515227,,49.46007629699,5.25630597441
49.49366178933,5.28697751588,3278640595120512,0.7613,0.7913,1.8367,0.8662,10.304,-0.523,1.287,-10.291,1.281,1.072,125.52009,1.0009,20.440584,33.283,5.2312,21.532982,181.28,7.5186,19.102,2.430983,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,114340494936754864,1237670015663800576,,,,,,N9VS005815,,,,49.4936641247,5.28702325146
49.58003341431,5.24862250678,3278778034188544,0.3899,0.4222,0.6207,0.4978,7.98,3.52,0.535,-7.161,0.48,1.121,211.42779,0.98471,19.874462,93.8,8.5588,20.408035,154.74,9.8595,19.273867,1.134169,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,114290495800438848,1237670015663800576,,,,,,N9X0000833,,,,49.58001770487,5.2486543352
49.57408614413,5.26235919957,3278846753666304,0.6045,0.6319,1.2022,0.7397,2.342,-0.396,0.868,-2.308,0.82,0.956,132.98782,0.93565,20.377836,83.8,13.341,20.53043,108.94,11.013,19.654936,0.875494,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,114310495740995360,1237670015663800832,,,,J031817.91+051545.4,,N9X0000846,,,,49.57408791202,5.26236945652
49.5904000386,5.25109340475,3278881113447680,3.1685,3.5383,,,,,,,,,74.83601,1.68,21.00209,49.448,17.602,21.103167,80.962,1.1369,19.97719,1.125977,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,114300495904051856,1237670015663800832,,,,,,N9X0003429,,,,49.5904000386,5.25109340475
49.60526002806,5.26732942367,3278915473143168,0.1731,0.183,-0.0552,0.2084,3.888,1.599,0.25,-3.544,0.224,0.984,525.13404,1.1178,18.886692,263.23,9.3102,19.287699,365.24,10.193,18.341444,0.946255,,,,,0,0,0,0,0,0,0,0,1,0,0,5173.8,4.8169,-2.6908,2676.5176,0.0033,,114320496052761312,1237670015663800576,,,,J031825.26+051602.2,,N9X0000852,,,,49.60525289099,5.26734517555
49.58052144695,5.25963112135,3278949832881280,0.1221,0.1265,0.0727,0.1479,2.952,1.832,0.169,-2.314,0.152,1.092,935.33973,1.4591,18.259943,390.14,13.801,18.860497,786.47,15.777,17.508694,1.351803,,,,,0,0,0,0,0,0,0,0,1,0,0,4407.1,4.9029,-1.5827,1061.9894,0.0355,,114310495805402080,1237670015663800576,,,URAT1-477012173,J031819.32+051534.6,,N9X0000844,,03181932+0515351,,49.58051327027,5.25964140682
49.58599140451,5.273794458,3278988487778048,1.4166,1.3138,,,,,,,,,156.45396,1.4273,20.2014,271.09,16.835,19.255772,841.09,33.59,17.435793,1.819979,,,,,0,1,0,0,0,0,0,0,0,0,0,,,,,,,114320495860029088,1237670015663800576,,,URAT1-477012174,J031820.63+051625.7,,N9X0000861,,03182066+0516258,,49.58599140451,5.273794458
49.55504680782,5.26765221859,3279057207255424,0.0278,0.0287,1.5103,0.0329,9.237,6.643,0.037,-6.418,0.034,2.514,155137.25244,35.936,12.710577,65568.0,53.478,13.296809,128370.0,61.893,11.97674,1.320069,-29.02,5.28,,11.658932,0,0,0,1,1,0,0,0,1,1,0,5167.9,3.6201,-0.1589,643.3066,0.8163,,114320495550581712,1237670015663800320,,,URAT1-477012168,J031813.21+051603.5,15066,N9X0000170,,03181321+0516037,,49.55501715691,5.267680741
49.57028272612,5.27783088726,3279155991356160,0.5021,0.59,0.2138,0.6205,18.115,17.483,0.678,-4.742,0.683,0.981,158.65151,0.97098,20.186256,56.611,6.8138,20.956299,215.61,9.2794,18.913746,2.042553,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,114330495702943920,1237670015663800832,,,,J031816.85+051640.1,,N9X0003469,,,,49.57020469366,5.27785196356
49.57925090735,5.28734426514,3279194646207616,0.0442,0.0437,2.8046,0.0508,34.665,5.204,0.061,-34.273,0.054,0.969,5180.9908,3.3459,16.401335,1409.2,16.007,17.466103,5594.1,15.884,15.378577,2.087525,,,,,0,0,0,1,0,0,0,0,1,1,0,3730.4,4.4211,-1.0267,350.0344,0.6625,,114340495793005408,1237670015663800320,,,URAT1-477012172,J031819.02+051714.6,,N9X0000879,,03181903+0517150,,49.57922767991,5.28749658758
49.55888358275,5.28320933873,3279229005946880,0.0472,0.0494,0.6175,0.0588,8.082,6.983,0.065,-4.068,0.059,1.012,4866.56509,3.42,16.46931,2280.1,19.611,16.94366,3711.6,7.6523,15.824001,1.119659,,,,,0,0,0,0,0,0,0,0,1,1,0,5197.6,4.6451,-0.8137,977.6429,0.401,,114340495588860368,1237670015663800320,,,URAT1-477012169,J031814.13+051659.5,,N9X0000872,,03181413+0516597,,49.5588524147,5.28322742064
49.61445475802,5.26881300929,3279293430265344,0.1355,0.1421,1.062,0.1643,2.087,1.496,0.19,-1.455,0.17,0.999,781.35159,1.5255,18.45525,242.31,12.531,19.377598,790.15,10.951,17.503622,1.873976,,,,,0,0,0,0,0,0,0,0,1,0,0,3606.0,4.454,-1.1836,770.7018,0.0087,,114320496144733088,1237670015663866112,,,,J031827.46+051607.6,,N9X0000854,,03182748+0516077,,49.61444807947,5.26881947456
