toi,ra,dec,st_dist,sky_coord.ra,sky_coord.dec
1283.01,324.535978,30.488188,92.3831,324.535978,30.488188
1284.01,311.513651,56.86715,110.246,311.513651,56.86715
1285.01,316.86724,46.865373,41.9934,316.86724,46.865373
1286.01,310.953619,59.576628,278.771,310.953619,59.576628
1287.01,308.747621,63.474938,92.7225,308.747621,63.474938
1288.01,313.167029,65.608783,114.865,313.167029,65.608783
1289.01,307.210941,33.413959,89.21544,307.210941,33.413959
1240.01,286.110305,43.680961,1086.24,286.110305,43.680961
1241.01,289.73973,44.647347,546.522,289.73973,44.647347
1242.01,248.553295,60.195927,110.015,248.553295,60.195927
1243.01,135.732641,71.636416,43.1865,135.732641,71.636416
1244.01,256.279559,69.519093,102.551,256.279559,69.519093
1245.01,283.53553,69.633534,80.0982,283.53553,69.633534
1246.01,251.11587,70.429992,169.422,251.11587,70.429992
1246.02,251.11587,70.429992,169.422,251.11587,70.429992
1246.03,251.11587,70.429992,169.422,251.11587,70.429992
1246.04,251.11587,70.429992,169.422,251.11587,70.429992
1247.01,227.867864,71.841296,73.8713,227.867864,71.841296
1248.01,259.023592,63.105607,168.735,259.023592,63.105607
1249.01,200.561576,66.308533,139.49,200.561576,66.308533
125.01,23.593425,-66.676349,111.059,23.593425,-66.676349
125.02,23.593425,-66.676349,111.059,23.593425,-66.676349
125.03,23.593425,-66.676349,111.059,23.593425,-66.676349
1305.01,282.474539,55.26639,875.061,282.474539,55.26639
1306.01,277.476856,61.049501,364.477,277.476856,61.049501
1307.01,283.637489,59.763193,,283.637489,59.763193
1308.01,306.425841,53.561615,543.011,306.425841,53.561615
1309.01,292.50517,54.108503,686.879,292.50517,54.108503
131.01,353.828713,-64.561917,,353.828713,-64.561917
1310.01,300.83864,53.29562,247.975,300.83864,53.29562
1311.01,294.722734,41.565154,556.813,294.722734,41.565154
1312.01,301.562631,52.164181,316.176,301.562631,52.164181
1313.01,303.824831,36.651807,303.313,303.824831,36.651807
1314.01,317.7479,43.551895,285.36,317.7479,43.551895
1315.01,318.235161,46.26809,453.744,318.235161,46.26809
1316.01,307.016647,39.87713,434.962,307.016647,39.87713
1317.01,316.813885,40.167172,697.116,316.813885,40.167172
1318.01,318.724623,38.094232,343.728,318.724623,38.094232
1319.01,318.627107,40.017017,73.6326,318.627107,40.017017
132.01,338.399662,-43.436872,163.678,338.399662,-43.436872
1320.01,319.32501,38.104855,340.289,319.32501,38.104855
1321.01,313.536475,37.789356,1139.32,313.536475,37.789356
1322.01,323.527361,46.931774,713.725,323.527361,46.931774
1323.01,329.385067,41.449509,301.421,329.385067,41.449509
1324.01,321.02381,46.384673,339.736,321.02381,46.384673
1325.01,322.92657,41.797465,52.4946,322.92657,41.797465
1326.01,323.206851,39.072196,285.587,323.206851,39.072196
1327.01,303.295223,36.725485,457.792,303.295223,36.725485
1328.01,315.110366,46.060449,397.905,315.110366,46.060449
1329.01,327.480039,44.08006,398.627,327.480039,44.08006
133.01,354.397374,-58.955078,48.6326,354.397374,-58.955078
1330.01,315.540896,45.775741,,315.540896,45.775741
1331.01,323.548627,50.481445,402.661,323.548627,50.481445
1332.01,323.550356,50.481865,645.841,323.550356,50.481865
1333.01,325.014536,48.406767,200.492,325.014536,48.406767
1334.01,302.220069,38.245221,1276.26,302.220069,38.245221
1335.01,301.564685,35.588396,624.639,301.564685,35.588396
1336.01,303.017318,35.524628,524.29,303.017318,35.524628
1337.01,227.270329,-42.704966,427.678,227.270329,-42.704966
1338.01,92.133096,-59.540985,399.017,92.133096,-59.540985
1339.01,302.025625,66.850301,53.6089,302.025625,66.850301
1339.02,302.025625,66.850301,53.6089,302.025625,66.850301
1339.03,302.025625,66.850301,53.6089,302.025625,66.850301
134.01,350.028592,-60.065729,25.1496,350.028592,-60.065729
1340.01,260.36481,65.012281,208.687,260.36481,65.012281
1341.01,301.559262,59.490771,236.568,301.559262,59.490771
1342.01,300.488392,60.246367,,300.488392,60.246367
1343.01,317.575459,48.464282,400.034,317.575459,48.464282
1344.01,264.961539,56.078974,121.182,264.961539,56.078974
1345.01,238.031812,74.406742,788.93,238.031812,74.406742
1346.01,256.622675,68.843303,115.45,256.622675,68.843303
1346.02,256.622675,68.843303,115.45,256.622675,68.843303
1347.01,280.326681,70.290054,147.476,280.326681,70.290054
1347.02,280.326681,70.290054,147.476,280.326681,70.290054
1348.01,282.173361,70.840191,101.713,282.173361,70.840191
1349.01,231.162129,67.464751,130.242,231.162129,67.464751
135.01,7.328916,-76.304032,196.852,7.328916,-76.304032
1350.01,305.395161,56.462656,598.635,305.395161,56.462656
129.01,0.185606,-54.830823,61.7856,0.185606,-54.830823
1290.01,291.03231,49.040213,144.166,291.03231,49.040213
1291.01,245.818009,62.925121,428.123,245.818009,62.925121
1292.01,253.14033,57.97415,190.403,253.14033,57.97415
1293.01,230.310094,63.565285,239.983,230.310094,63.565285
1294.01,223.092641,70.476557,332.648,223.092641,70.476557
1295.01,256.672203,67.871503,388.227,256.672203,67.871503
1296.01,256.770639,70.238481,323.265,256.770639,70.238481
1297.01,195.821133,67.823436,283.32,195.821133,67.823436
1298.01,241.322901,70.19004,319.036,241.322901,70.19004
1299.01,286.74788,71.7136,,286.74788,71.7136
130.01,12.546778,-83.743767,57.5846,12.546778,-83.743767
1300.01,216.523825,59.444274,321.376,216.523825,59.444274
1301.01,275.862543,71.581748,90.8693,275.862543,71.581748
1301.02,275.862543,71.581748,90.8693,275.862543,71.581748
1302.01,264.378942,73.261193,339.455,264.378942,73.261193
1303.01,301.717674,45.499227,387.708,301.717674,45.499227
1304.01,303.072972,44.495878,156.338,303.072972,44.495878
1369.01,345.243825,42.549318,516.299,345.243825,42.549318
137.01,101.297491,-66.238326,88.8838,101.297491,-66.238326
1370.01,345.748458,44.564848,275.493,345.748458,44.564848
1371.01,331.117705,31.018767,302.295,331.117705,31.018767
1372.01,335.753569,30.572726,244.043,335.753569,30.572726
1373.01,354.774092,42.465987,275.358,354.774092,42.465987
1374.01,324.922517,46.220215,1013.56,324.922517,46.220215
1375.01,324.935562,41.950794,365.168,324.935562,41.950794
1376.01,325.787112,45.646806,240.012,325.787112,45.646806
1377.01,326.305217,45.812547,4984.88,326.305217,45.812547
1378.01,339.785541,49.426562,547.399,339.785541,49.426562
1379.01,344.35978,53.140835,366.242,344.35978,53.140835
138.01,328.926018,-61.673257,128.488,328.926018,-61.673257
1380.01,316.446344,46.845151,305.674,316.446344,46.845151
1381.01,318.784961,44.899679,737.108,318.784961,44.899679
1382.01,329.05345,55.740977,285.666,329.05345,55.740977
1383.01,347.757547,45.93369,178.003,347.757547,45.93369
1384.01,331.663464,55.686255,235.218,331.663464,55.686255
1385.01,333.245043,53.98452,324.346,333.245043,53.98452
1386.01,334.504103,54.319045,146.858,334.504103,54.319045
1387.01,341.518718,55.162935,239.688,341.518718,55.162935
1388.01,344.445363,38.674919,158.979,344.445363,38.674919
1389.01,333.131944,31.364667,,333.131944,31.364667
139.01,336.402414,-34.909713,42.4061,336.402414,-34.909713
1390.01,323.86462,51.323577,523.373,323.86462,51.323577
1391.01,343.635061,54.161814,115.746,343.635061,54.161814
1392.01,322.892141,50.320713,594.193,322.892141,50.320713
1393.01,333.171245,52.900886,248.79,333.171245,52.900886
1394.01,340.395784,51.965285,195.022,340.395784,51.965285
1395.01,321.283221,40.887821,279.953,321.283221,40.887821
1396.01,337.8341,53.796052,102.931,337.8341,53.796052
1397.01,338.452968,57.563539,194.993,338.452968,57.563539
1398.01,341.386298,48.161556,648.398,341.386298,48.161556
1399.01,341.970903,49.918072,252.396,341.970903,49.918072
140.01,330.301777,-49.060077,337.105,330.301777,-49.060077
1400.01,287.025089,66.290697,370.791,287.025089,66.290697
1401.01,291.411851,69.11298,383.166,291.411851,69.11298
1402.01,291.880247,68.014695,576.745,291.880247,68.014695
1403.01,332.287103,57.938972,482.603,332.287103,57.938972
