main_id,ra,dec,otype,frame_hash
[AFR2020] NGC5907 GC207,229.02538,56.365166,GlC,1879542395521009101
[AFR2020] NGC5907 GC208,228.99422,56.536625,GlC,-2548187757024581813
[AFR2020] NGC5907 GC209,228.93791,56.535553,GlC,-6226904730580471665
[AFR2020] NGC5907 GC210,229.18134,56.439873,GlC,-1951316617746005453
[AFR2020] NGC5907 GC211,228.73566,56.438404,GlC,-1627794770384749457
[AFR2020] NGC5907 GC212,228.85287,56.438374,GlC,-644386970804863715
[AFR2020] NGC5907 GC213,228.63696,56.420223,GlC,-2347667239133214719
[AFR2020] NGC5907 GC214,229.27002,56.419823,GlC,1733381809059191871
[AFR2020] NGC5907 GC215,228.78746,56.413166,GlC,-5035633109669509599
[AFR2020] NGC5907 GC216,229.06856,56.41427,GlC,562596992518307212
[AFR2020] NGC5907 GC217,228.70099,56.41162,GlC,-939698364464762038
[AFR2020] NGC5907 GC218,229.03622,56.40844299999999,GlC,8350675614968871338
[AFR2020] NGC5907 GC219,228.8477,56.40405299999999,GlC,-6995120496915336143
[AFR2020] NGC5907 GC220,228.65811,56.40371,GlC,-4456452829429377830
[AFR2020] NGC5907 GC221,229.10986,56.402832,GlC,5668106455475002886
[AFR2020] NGC5907 GC222,229.27785,56.39135,GlC,-3325949941425150214
[AFR2020] NGC5907 GC223,228.71141,56.39322299999999,GlC,-3724040126351393467
[AFR2020] NGC5907 GC224,228.63423,56.392677,GlC,8744414126126095462
[AFR2020] NGC5907 GC225,228.64046,56.388622,GlC,-4615488746763460422
[AFR2020] NGC5907 GC226,228.7782,56.387123,GlC,1621626370846799450
[AFR2020] NGC5907 GC227,229.24327,56.3863,GlC,-6956923443935962937
[AFR2020] NGC5907 GC228,229.2327,56.38468,GlC,7394447619872977214
[AFR2020] NGC5907 GC229,229.22098,56.384987,GlC,-6819979807237454538
[AFR2020] NGC5907 GC230,229.06158,56.37945,GlC,423253399356058389
[AFR2020] NGC5907 GC231,228.965,56.37547,GlC,-6057843066736725790
[AFR2020] NGC5907 GC232,229.21057,56.37411,GlC,28382958153628864
[AFR2020] NGC5907 GC233,229.12764,56.371475,GlC,9154448757049766432
