WDS,Disc,Comp,Obs1,Obs2,pa1,pa2,sep1,sep2,mag1,mag2,DM,Notes,n_RAJ2000,RAJ2000,DEJ2000,_RA.icrs,_DE.icrs
00009+5915,STI3081,,1906,2015,80,87,6.1,4.6,11.2,12.5,,,,00 00 51.32,+59 15 18.8,00 00 51.32,+59 15 18.8
00009-0118,ITF  70,,1951,2016,317,321,2.7,2.3,12.8,13.4,,V,,00 00 51.03,-01 17 59.9,00 00 51.03,-01 17 59.9
00009-0908,GRV1157,,1954,2016,276,276,19.4,19.2,19.0,20.4,,,,00 00 54.38,-09 08 07.6,00 00 54.38,-09 08 07.6
00009-1739,RST3339,,1935,2016,66,66,1.2,1.2,10.6,10.8,-18 6411,,,00 00 52.49,-17 38 52.4,00 00 52.49,-17 38 52.4
00009-2025,DON1056,,1929,2016,29,34,0.7,0.9,10.0,13.0,-21 6515,,,00 00 55.33,-20 25 26.4,00 00 55.33,-20 25 26.4
00010+2721,DAM 361,AB,1951,2015,349,354,11.4,8.8,12.0,13.6,,U,,00 01 00.28,+27 20 31.9,00 01 00.28,+27 20 31.9
00010+2721,GII 111,AC,2013,2013,219,219,33.1,33.1,12.0,13.6,,U,,00 01 00.28,+27 20 31.9,00 01 00.28,+27 20 31.9
00010-4234,I  1088,AB,1914,2016,355,354,1.5,1.7,10.06,10.48,-4315563,,,00 01 01.57,-42 34 16.5,00 01 01.57,-42 34 16.5
00010-4234,I  1088,AC,1926,2015,160,141,8.0,17.6,9.8,13.5,,,,00 01 01.57,-42 34 16.5,00 01 01.57,-42 34 16.5
00010-4920,RST1178,,1930,2016,294,295,1.6,2.0,10.03,12.9,-5014100,,,00 01 02.39,-49 19 10.0,00 01 02.39,-49 19 10.0
00010-5445,RST1177,,1921,2016,269,257,2.7,3.1,11.0,11.9,-5510136,V,,00 00 57.42,-54 45 20.1,00 00 57.42,-54 45 20.1
00011+6935,STTA253,AB,1875,2023,353,353,100.5,101.8,7.57,8.03,+68 1418,N,,00 01 04.51,+69 34 32.0,00 01 04.51,+69 34 32.0
00011+6935,STTA253,AC,1894,2015,191,191,187.2,188.2,7.56,8.87,,N,,00 01 04.51,+69 34 32.0,00 01 04.51,+69 34 32.0
00011+6336,MLB 240,,1903,2016,51,42,5.1,5.8,9.95,11.4,+62 2344,,,00 01 07.58,+63 36 10.6,00 01 07.58,+63 36 10.6
00011+5622,TDS1247,,1991,1991,114,114,0.6,0.6,11.6,11.98,,X,,00 01 03.94,+56 22 13.5,00 01 03.94,+56 22 13.5
