WDS,Disc,Comp,Obs1,Obs2,pa1,pa2,sep1,sep2,mag1,mag2,DM,Notes,n_RAJ2000,ra,dec,_RA.icrs,_DE.icrs,framework_id,frame_hash
00007-3044,LDS2069,0,1954,2015,324,352,7.0,6.3,15.7,18.0,0,V,0,00 00 42.56,-30 43 25.1,00 00 42.56,-30 43 25.1,-7274690166547922761,-1850000969972082740
00007-5450,KPP2838,AB,2015,2016,322,322,3.8,3.8,11.23,16.12,0,T,0,00 00 44.91,-54 49 49.9,00 00 44.91,-54 49 49.9,5934784203053158477,-8154921295563289783
00007-5450,TOI 129,AC,1999,2015,162,162,73.6,73.6,10.6,18.6,0,0,0,00 00 44.91,-54 49 49.9,00 00 44.91,-54 49 49.9,-1746664582880114404,393859196246339463
00008+5016,TDS1246,0,1991,2015,209,200,0.6,0.5,11.28,11.62,0,0,0,00 00 49.01,+50 16 26.2,00 00 49.01,+50 16 26.2,-5258829353217869118,7370125203106873675
00008+3647,ES  221,0,1904,2021,234,234,14.8,15.5,8.35,10.31,+35 5153,T,0,00 00 49.69,+36 46 48.4,00 00 49.69,+36 46 48.4,-6683143521406756104,8678424516587967612
00008+1659,BAG  18,0,2001,2022,37,325,0.5,0.7,8.79,12.6,+16 5027,O,0,00 00 48.09,+16 59 17.5,00 00 48.09,+16 59 17.5,6274813113056036611,8682059550867141280
00008+1259,CVR 301,0,1949,2016,194,194,28.3,28.2,17.1,17.2,0,V,0,00 00 46.64,+12 59 24.8,00 00 46.64,+12 59 24.8,4340796359347125732,-4193933455962052402
00008+0630,GWP   2,0,1955,2016,290,290,8.8,10.1,13.1,15.7,0,N  R,0,00 00 45.04,+06 29 43.8,00 00 45.04,+06 29 43.8,3857814685033372249,7301858746920354769
00008-3244,I  1478,0,1925,2008,323,329,0.4,0.4,9.79,9.81,-3316804,0,0,00 00 50.04,-32 44 09.6,00 00 50.04,-32 44 09.6,7148933818902002898,-2762022618386282495
00009+6023,MRI   4,0,1954,2015,0,359,21.3,21.4,12.09,12.44,0,0,0,00 00 51.56,+60 23 06.6,00 00 51.56,+60 23 06.6,1022754416103469318,-1933782520714237614
00009+5915,STI3081,0,1906,2015,80,87,6.1,4.6,11.2,12.5,0,0,0,00 00 51.32,+59 15 18.8,00 00 51.32,+59 15 18.8,-1295064622279220815,-5971842265261258034
00009-0118,ITF  70,0,1951,2016,317,321,2.7,2.3,12.8,13.4,0,V,0,00 00 51.03,-01 17 59.9,00 00 51.03,-01 17 59.9,-7512554851130632480,-7047799036971501633
00009-0908,GRV1157,0,1954,2016,276,276,19.4,19.2,19.0,20.4,0,0,0,00 00 54.38,-09 08 07.6,00 00 54.38,-09 08 07.6,-4136599395998075784,-851746025701616271
00009-1739,RST3339,0,1935,2016,66,66,1.2,1.2,10.6,10.8,-18 6411,0,0,00 00 52.49,-17 38 52.4,00 00 52.49,-17 38 52.4,-8893126695889307886,-7987778754350127182
00009-2025,DON1056,0,1929,2016,29,34,0.7,0.9,10.0,13.0,-21 6515,0,0,00 00 55.33,-20 25 26.4,00 00 55.33,-20 25 26.4,4796107978668052305,-2698655913932467968
00010+2721,DAM 361,AB,1951,2015,349,354,11.4,8.8,12.0,13.6,0,U,0,00 01 00.28,+27 20 31.9,00 01 00.28,+27 20 31.9,-5947338855274641811,6545471700490007670
00010+2721,GII 111,AC,2013,2013,219,219,33.1,33.1,12.0,13.6,0,U,0,00 01 00.28,+27 20 31.9,00 01 00.28,+27 20 31.9,-3509258010875795145,-1935823091089370992
00010-4234,I  1088,AB,1914,2016,355,354,1.5,1.7,10.06,10.48,-4315563,0,0,00 01 01.57,-42 34 16.5,00 01 01.57,-42 34 16.5,-1883308250683877985,-3422029041643063334
00010-4234,I  1088,AC,1926,2015,160,141,8.0,17.6,9.8,13.5,0,0,0,00 01 01.57,-42 34 16.5,00 01 01.57,-42 34 16.5,3893775170485645103,-6937813810056534854
00010-4920,RST1178,0,1930,2016,294,295,1.6,2.0,10.03,12.9,-5014100,0,0,00 01 02.39,-49 19 10.0,00 01 02.39,-49 19 10.0,-1490643169929079167,766346865619591132
00010-5445,RST1177,0,1921,2016,269,257,2.7,3.1,11.0,11.9,-5510136,V,0,00 00 57.42,-54 45 20.1,00 00 57.42,-54 45 20.1,-5071743038159653288,-788265821892303345
00011+6935,STTA253,AB,1875,2023,353,353,100.5,101.8,7.57,8.03,+68 1418,N,0,00 01 04.51,+69 34 32.0,00 01 04.51,+69 34 32.0,6195593611113175201,-71569050104092349
00011+6935,STTA253,AC,1894,2015,191,191,187.2,188.2,7.56,8.87,0,N,0,00 01 04.51,+69 34 32.0,00 01 04.51,+69 34 32.0,6847096884454869330,-7612369154658172394
00011+6336,MLB 240,0,1903,2016,51,42,5.1,5.8,9.95,11.4,+62 2344,0,0,00 01 07.58,+63 36 10.6,00 01 07.58,+63 36 10.6,3262073312483235306,-5396709262935432457
00011+5622,TDS1247,0,1991,1991,114,114,0.6,0.6,11.6,11.98,0,X,0,00 01 03.94,+56 22 13.5,00 01 03.94,+56 22 13.5,154754309565574995,-940855960790460674
00011+2502,POU5882,0,1898,2016,51,43,9.6,8.0,13.51,13.53,0,0,0,00 01 09.20,+25 02 03.4,00 01 09.20,+25 02 03.4,3428730077752401869,-1328077610228632626
00011+1952,CBL 556,0,1998,2016,158,158,8.4,8.5,16.0,18.0,0,V,0,00 01 06.67,+19 52 24.8,00 01 06.67,+19 52 24.8,5805039294449468699,-8010230519780825718
00011+1505,SKF 497,0,2001,2015,236,259,1.4,1.6,17.7,18.7,0,0,0,00 01 06.41,+15 05 16.7,00 01 06.41,+15 05 16.7,-1518589414191961043,4941440132343851144
00011-2326,LDS2070,0,1909,2016,255,263,68.0,66.2,9.5,9.71,-2417946,N,0,00 01 04.17,-23 26 25.2,00 01 04.17,-23 26 25.2,8070148127388978414,7695309416236713276
00012+6221,STI1252,0,1913,2016,288,288,6.6,7.4,9.8,12.1,0,0,0,00 01 10.20,+62 21 53.2,00 01 10.20,+62 21 53.2,-8762833932525440887,5402064394761904337
00012+3716,DAM 274,0,1999,2016,285,285,4.5,4.5,12.6,14.6,0,0,0,00 01 09.82,+37 16 22.0,00 01 09.82,+37 16 22.0,-6262677578366893626,2188880893177675467
00012+1357,LSC   2,"Aa,Ab",2014,2019,185,170,0.2,0.2,10.7,13.1,+13 5195,0,0,00 01 13.19,+13 58 30.3,00 01 13.19,+13 58 30.3,7525332876523132434,-2356526628453808181
00012+1357,WNO  12,AB,1906,2021,204,204,12.7,11.5,10.66,11.12,+13 5195,V,0,00 01 13.19,+13 58 30.3,00 01 13.19,+13 58 30.3,5629999810056565959,-9033411095584617418
