WDS,Disc,Comp,Obs1,Obs2,pa1,pa2,sep1,sep2,mag1,mag2,DM,Notes,n_RAJ2000,ra,dec,_RA.icrs,_DE.icrs,frame_hash
00035+4853,ES 1191,,1912,2016,14,11,3.8,3.2,10.59,14.0,+48 4232,,,00 03 29.38,+48 53 07.3,00 03 29.38,+48 53 07.3,4571723785906519484
00035+3434,OL   77,,1919,2016,256,258,2.6,2.7,10.8,12.6,+33 4824,,,00 03 35.41,+34 33 05.1,00 03 35.41,+34 33 05.1,6346973113355755751
00035+3242,CVR 303,,2000,2016,216,216,8.6,8.7,15.7,20.1,,V R,,00 03 28.61,+32 41 55.9,00 03 28.61,+32 41 55.9,-152910718743977973
00035-0058,WAA  56,,1991,2015,143,148,4.5,4.9,19.0,20.0,,,,00 03 27.34,-00 57 52.7,00 03 27.34,-00 57 52.7,2209382189354060017
00035-0308,UC  309,,1954,2015,324,327,43.1,43.7,15.0,16.4,,V U,,00 03 27.38,-03 07 59.0,00 03 27.38,-03 07 59.0,-5343232588166441550
00035-4238,LDS3115,,1960,2015,61,57,7.0,7.5,16.4,16.8,,,,00 03 31.20,-42 37 37.6,00 03 31.20,-42 37 37.6,-8587458581466635558
00035-7221,KPP4406,AC,2015,2016,300,300,3.0,3.0,11.1,13.8,,TW,,00 03 30.61,-72 20 53.2,00 03 30.61,-72 20 53.2,856272338232827094
00036+4944,FOX  53,AB,1924,2016,193,192,3.5,3.8,10.4,12.2,,,,00 03 37.52,+49 44 29.7,00 03 37.52,+49 44 29.7,-335591103519295045
00036+4944,FOX  53,AE,2002,2016,122,123,9.4,9.7,10.4,15.7,,,,00 03 37.52,+49 44 29.7,00 03 37.52,+49 44 29.7,-8284968988432190991
00036+4944,WAK   9,CD,1970,2016,42,92,2.2,2.2,9.5,10.5,,,,00 03 31.03,+49 44 43.9,00 03 31.03,+49 44 43.9,-8801940191598455856
00036+2632,CVR1028,,1998,2016,32,32,3.8,3.9,16.3,16.7,,U,,00 03 37.26,+26 32 23.1,00 03 37.26,+26 32 23.1,5086005196120561691
00036+1934,KPP 549,,1998,2016,332,331,5.2,5.2,11.0,13.2,,V,,00 03 33.73,+19 34 27.2,00 03 33.73,+19 34 27.2,890666246555714672
00036-3106,TOK 686,,2015,2023,5,171,0.1,0.1,7.5,10.6,-3119578,O R,,00 03 37.06,-31 05 38.9,00 03 37.06,-31 05 38.9,7557647804906023112
00037+5329,WOR  30,,1964,2021,182,183,0.8,0.9,9.62,10.36,+52 3591,,,00 03 42.53,+53 28 57.8,00 03 42.53,+53 28 57.8,5528692829160329509
00037+3752,COU 846,,1972,2016,151,150,0.9,0.9,10.7,13.7,+37 4928,,,00 03 43.26,+37 52 15.3,00 03 43.26,+37 52 15.3,5874407737468219608
00037+1851,GWP   7,AB,1954,2015,174,176,5.7,6.0,13.2,14.5,,N  R,,00 03 44.41,+18 51 22.2,00 03 44.41,+18 51 22.2,-2569563379622293216
00037+1252,HJ 3235,,1828,2015,82,87,15.0,22.9,10.75,11.35,+12 5060,S,,00 03 46.50,+12 51 21.2,00 03 46.50,+12 51 21.2,-1158518185940070322
00037+1134,BPM   3,,1949,2015,335,336,76.4,75.9,15.5,16.1,,NV,,00 03 44.68,+11 33 34.2,00 03 44.68,+11 33 34.2,3980362374737864256
00037-2824,CRZ   1,,1998,2016,10,9,65.9,66.0,8.32,20.0,-2918946,NV,,00 03 41.48,-28 23 46.3,00 03 41.48,-28 23 46.3,4255701849063296067
00037-4210,TDS1278,,1991,1991,252,252,0.4,0.4,10.81,10.91,-4216577,X,,00 03 40.70,-42 09 51.3,00 03 40.70,-42 09 51.3,-3662527514943128468
00038+5518,STI3089,,1917,2015,129,124,15.7,16.4,12.6,13.2,,,,00 03 52.08,+55 17 56.7,00 03 52.08,+55 17 56.7,-4612430811379591247
00038+2440,DAM 827,,1998,2015,312,318,4.7,4.5,12.7,13.9,,,,00 03 49.55,+24 40 24.7,00 03 49.55,+24 40 24.7,5492949980882603223
00038-1317,XMI   1,,1900,2015,271,271,15.9,29.2,10.95,12.05,,NL,,00 03 46.78,-13 17 03.2,00 03 46.78,-13 17 03.2,-5779183685594582613
00038-1632,GWP   8,,1951,2015,201,201,107.6,107.8,15.14,16.8,,V,,00 03 46.67,-16 31 58.0,00 03 46.67,-16 31 58.0,2725163287127502996
00038-1804,LDS3011,,1951,2016,87,87,2.5,2.5,16.2,17.0,,,,00 03 45.11,-18 03 21.8,00 03 45.11,-18 03 21.8,2151439664274629160
00039+6041,PTT  19,,1916,2015,7,13,7.9,14.4,9.53,15.31,+59 2823,U,,00 03 53.33,+60 40 34.5,00 03 53.33,+60 40 34.5,-4799678338609360948
00039+5723,HJ 1926,AB,1828,2015,315,308,13.0,29.0,8.17,12.11,+56 3138,,,00 03 52.60,+57 22 41.8,00 03 52.60,+57 22 41.8,-4675465638336462396
00039+5723,HJ 1926,AC,1908,2015,82,83,28.3,23.4,8.17,12.23,+56 3138,,,00 03 52.60,+57 22 41.8,00 03 52.60,+57 22 41.8,-8188201604440342187
00039+5723,HJ 1926,AD,1999,2015,170,171,31.9,31.9,8.17,13.05,+56 3138,,,00 03 52.60,+57 22 41.8,00 03 52.60,+57 22 41.8,-205927100030677476
00039+5627,STI3090,,1917,2015,35,29,2.6,4.5,12.4,12.8,,,,00 03 55.27,+56 27 20.2,00 03 55.27,+56 27 20.2,6153726902894864616
00039+2759,A   429,AB,1902,2020,344,327,0.5,0.5,9.3,9.43,+27 4670,,,00 03 53.34,+27 58 49.7,00 03 53.34,+27 58 49.7,-4712906589784584380
00039+2759,HJ 1929,"AB,C",1828,2020,288,285,3.0,4.9,8.76,9.53,,,,00 03 53.34,+27 58 49.7,00 03 53.34,+27 58 49.7,-920318283067486459
00039+1604,WAA  57,,2000,2016,247,246,0.8,1.0,18.5,19.0,,,,00 03 52.75,+16 03 34.2,00 03 52.75,+16 03 34.2,4057134746690214506
00039-2347,LDS2078,,1952,2016,80,81,13.0,12.4,13.7,18.0,,,,00 03 49.71,-23 46 03.9,00 03 49.71,-23 46 03.9,-545083280715141891
00039-2458,LDS2079,,1952,2016,345,347,4.5,4.8,15.0,17.5,,,,00 03 51.78,-24 57 23.7,00 03 51.78,-24 57 23.7,-1888651442030512179
00039-5750,I   700,,1911,2023,80,188,0.5,0.3,9.12,9.68,-58 8128,O,,00 03 54.07,-57 49 49.6,00 03 54.07,-57 49 49.6,-2770085092221003995
00039-6336,TDS1279,,1991,1991,267,267,0.5,0.5,10.68,10.78,-64 4379,X,,00 03 51.51,-63 36 07.2,00 03 51.51,-63 36 07.2,9117023185702944099
00040+6106,MZA   1,,1999,2015,79,75,8.0,8.8,8.66,16.3,+60 2663,,,00 03 57.50,+61 06 13.0,00 03 57.50,+61 06 13.0,7917262293751244104
00040+6050,HJ 1930,,1828,2015,348,346,10.0,10.8,10.67,10.8,+60 2664,,,00 04 02.95,+60 50 45.1,00 04 02.95,+60 50 45.1,-5015723387079879230
00040+4942,TOB   9,,1903,2019,31,26,44.5,43.9,9.08,9.84,+48 4234,,,00 04 00.16,+49 41 35.8,00 04 00.16,+49 41 35.8,-6376613055024488804
00040+2131,J   628,,1911,2016,196,194,3.2,3.3,13.3,13.3,,,,00 03 59.25,+21 29 47.6,00 03 59.25,+21 29 47.6,-4932630045529832945
00040+1209,STF3055,AB,1831,2021,1,359,5.5,5.5,7.28,10.34,+11 5092,,,00 04 00.24,+12 08 45.0,00 04 00.24,+12 08 45.0,1710533933637372099
00040+1209,STF3055,AC,1912,2015,32,32,122.6,122.6,7.28,12.7,,,,00 04 00.24,+12 08 45.0,00 04 00.24,+12 08 45.0,7016938199401124465
00040-3116,LDS2080,,1954,2016,41,26,2.0,2.2,19.3,19.7,,,,00 03 58.63,-31 16 04.6,00 03 58.63,-31 16 04.6,8806912256907749472
00040-4515,TVB  19,,1999,2016,234,235,5.1,5.1,11.2,12.6,,T,,00 04 01.30,-45 15 32.3,00 04 01.30,-45 15 32.3,-4244152326601955556
00040-4808,COO 264,,1887,2015,68,58,2.6,3.2,8.25,10.33,-4814684,,,00 03 57.88,-48 07 30.6,00 03 57.88,-48 07 30.6,3192623167209919935
00040-5647,KPP4407,,2015,2016,26,26,1.6,1.6,15.8,15.7,,T,,00 03 57.99,-56 46 48.8,00 03 57.99,-56 46 48.8,5414188366094136344
00042+6609,AZC 133,,1999,2016,212,212,16.9,16.9,12.61,17.93,,V,,00 04 09.90,+66 09 10.5,00 04 09.90,+66 09 10.5,7340961021698737693
00042+6217,H 5  79,AB,1782,2015,321,330,52.7,82.4,5.92,12.58,+61 2586,N,,00 04 13.66,+62 17 15.5,00 04 13.66,+62 17 15.5,-4692586919693222161
00042+6217,SMY   5,AC,1834,2015,240,238,150.0,150.7,5.92,12.73,,N,,00 04 13.66,+62 17 15.5,00 04 13.66,+62 17 15.5,-3751935145213730450
00042+6217,S   838,AD,1824,2012,196,197,245.4,244.0,5.92,8.24,+61 2585,N,,00 04 13.66,+62 17 15.5,00 04 13.66,+62 17 15.5,7540708418715047880
00042+4959,HJ 1931,,1828,2015,116,117,16.5,22.8,8.01,10.7,+49 4321,,,00 04 09.27,+49 59 17.9,00 04 09.27,+49 59 17.9,8324251020317763438
00042+3732,UC  310,,1954,2015,15,15,31.9,31.0,13.24,14.13,,V U,,00 04 10.88,+37 32 21.5,00 04 10.88,+37 32 21.5,1374342710596036758
00042+3015,SKF1940,,2003,2015,192,200,1.2,1.2,13.5,13.5,,,,00 04 11.42,+30 14 36.6,00 04 11.42,+30 14 36.6,4594740409699099310
00042+2701,SMA   1,,1895,2018,161,161,13.2,13.4,9.96,10.84,+26 4739,,,00 04 11.70,+27 00 38.5,00 04 11.70,+27 00 38.5,6805706238772382962
00042+0031,SKF1813,,2002,2015,154,154,1.9,1.8,16.8,16.8,,,,00 04 14.02,+00 30 31.7,00 04 14.02,+00 30 31.7,8855114417779703702
00042-0552,SKF1065,,1994,2015,285,286,2.6,2.6,16.3,18.7,,,,00 04 09.00,-05 52 27.6,00 04 09.00,-05 52 27.6,-7770202498835461584
00042-1008,LDS3116,,1960,2015,303,302,23.0,22.4,9.83,17.5,-10 6219,N,,00 04 12.42,-10 08 27.9,00 04 12.42,-10 08 27.9,3771163558238940112
00042-1355,LDS5257,,1954,2015,220,219,141.8,147.6,13.07,14.43,,U,,00 04 16.27,-13 55 11.2,00 04 16.27,-13 55 11.2,-7238143838771645918
00043+6005,STI1263,,1910,2015,14,15,8.0,8.0,12.5,12.8,,,,00 04 12.87,+60 04 59.5,00 04 12.87,+60 04 59.5,3187161154306741058
00043+5241,AZC 134,,1998,2016,290,290,18.7,18.8,11.49,16.09,,V,,00 04 15.22,+52 41 08.3,00 04 15.22,+52 41 08.3,2066246574330777428
00043+4848,TDS1280,,1991,2015,258,257,2.2,2.1,11.86,12.98,,,,00 04 16.49,+48 47 58.3,00 04 16.49,+48 47 58.3,-7067401066879886896
00043+4235,HJ 1932,AB,1828,2024,302,306,4.5,6.9,8.64,9.5,+41 4932,,,00 04 18.34,+42 35 11.4,00 04 18.34,+42 35 11.4,-4590459022464130149
00043+4235,WAL   4,AC,1893,2018,187,188,47.5,47.2,8.64,9.83,,,,00 04 18.34,+42 35 11.4,00 04 18.34,+42 35 11.4,-5396378951496662554
00043+3705,TDS1281,,1991,2016,346,336,1.4,1.5,12.33,12.73,+36 5147,,,00 04 15.50,+37 05 11.0,00 04 15.50,+37 05 11.0,-4036306381840794728
00043+2829,LDS3117,,1960,2017,9,5,66.0,68.0,14.34,14.35,,U,,00 04 21.65,+28 29 24.0,00 04 21.65,+28 29 24.0,5002436864549299316
00043-4304,UC  311,,1996,2016,142,142,8.7,8.7,12.6,13.6,,V,,00 04 17.94,-43 04 29.1,00 04 17.94,-43 04 29.1,1212943966572477513
00043-4449,DON1057,,1929,1991,80,76,0.6,0.4,10.7,10.83,-4515232,,,00 04 15.68,-44 48 51.6,00 04 15.68,-44 48 51.6,-6566318150171449258
00044+5804,OSO   1,AB,1994,2016,174,216,11.4,13.7,10.44,18.2,,NU,,00 04 26.90,+58 04 07.2,00 04 26.90,+58 04 07.2,5872892909080566646
00044+5804,OSO   1,AC,1994,2016,48,357,12.2,9.1,10.44,17.4,,NU,,00 04 26.90,+58 04 07.2,00 04 26.90,+58 04 07.2,-8146939066129542875
00044+5804,OSO   1,AD,1994,2016,324,309,20.1,27.2,10.47,13.13,,NU,,00 04 26.90,+58 04 07.2,00 04 26.90,+58 04 07.2,-4946906111090939749
00044+5804,OSO   1,AE,1994,2016,114,128,20.5,12.0,10.44,17.1,,NU,,00 04 26.90,+58 04 07.2,00 04 26.90,+58 04 07.2,-7345137765788972608
00044+5804,OSO   1,AF,1994,2016,59,40,24.1,17.5,10.44,16.2,,NU,,00 04 26.90,+58 04 07.2,00 04 26.90,+58 04 07.2,9011934286616047484
00045+8907,SKF 974,,1988,2016,173,172,12.7,12.9,10.4,16.2,+89  143,,,00 04 28.06,+89 07 06.4,00 04 28.06,+89 07 06.4,8445202878437335271
00045+6303,ES 2006,,1922,2015,268,276,2.0,2.2,11.2,12.3,,,,00 04 21.28,+63 03 48.8,00 04 21.28,+63 03 48.8,-8993313653032113833
00045+5529,TDS1282,,1991,1991,21,21,0.9,0.9,11.71,12.2,,X,,00 04 28.83,+55 29 09.3,00 04 28.83,+55 29 09.3,-9131454561761466992
00045+5412,TDS1283,,1991,2018,264,253,0.5,0.4,11.17,11.25,,,,00 04 31.52,+54 11 40.6,00 04 31.52,+54 11 40.6,1518812590282703203
00045+1851,GWP   9,,1991,2016,346,346,7.0,7.4,14.8,18.4,,N  R,,00 04 27.84,+18 51 07.7,00 04 27.84,+18 51 07.7,-768121742861479399
00045+0045,GWP  10,,1951,2016,35,35,20.5,20.3,13.7,18.8,,N  R,,00 04 28.38,+00 45 11.9,00 04 28.38,+00 45 11.9,-2784192565714700558
00045-0045,WAA  58,,2002,2015,12,15,2.6,2.6,19.5,20.6,,,,00 04 29.93,-00 44 51.5,00 04 29.93,-00 44 51.5,3040630728985028507
00045-1019,SLW   2,,1954,2015,316,316,135.9,135.9,18.3,18.7,,V R,,00 04 29.38,-10 19 26.5,00 04 29.38,-10 19 26.5,3824995778158343102
00046+5833,TDS1284,,1991,1991,228,228,2.6,2.6,9.55,12.67,+57 2853,X,,00 04 35.15,+58 32 38.1,00 04 35.15,+58 32 38.1,5257798972237927915
00046+4723,ES 1293,,1902,2021,187,185,6.0,5.9,10.58,11.43,+46 4249,,,00 04 39.31,+47 24 54.4,00 04 39.31,+47 24 54.4,8552863352703569512
00046+4206,CHR 122,"Aa,Ab",1986,2023,95,268,0.1,0.1,6.0,,+41 4933,NO,,00 04 36.60,+42 05 33.2,00 04 36.60,+42 05 33.2,-1547716143697197754
00046+4206,STT 514,AB,1847,2015,171,170,5.2,5.1,6.16,9.65,,N,,00 04 36.60,+42 05 33.2,00 04 36.60,+42 05 33.2,2622168074990821521
00046-4044,ERO   1,AB,1982,2015,258,259,17.9,18.3,12.84,20.0,,N  P,,00 04 36.51,-40 44 01.3,00 04 36.51,-40 44 01.3,3419656609105276877
00046-4044,GKI   2,"Ba,Bb",2002,2005,48,44,0.1,0.1,14.5,14.6,,NV K,,00 04 34.84,-40 44 05.8,00 04 34.84,-40 44 05.8,4832236967757375356
00046-7745,LDS 832,,1895,2016,188,187,8.8,9.3,14.1,14.2,,NS,,00 03 56.34,-77 44 30.5,00 03 56.34,-77 44 30.5,7623047221439091396
00047+4049,UC  312,,1954,2015,157,157,39.2,39.5,13.9,14.5,,V R,,00 04 43.51,+40 49 06.6,00 04 43.51,+40 49 06.6,-3829546001743292015
00047+3547,HU  800,,1904,2017,71,67,0.2,0.2,9.5,9.7,+34 5059,,,00 04 40.06,+35 47 14.3,00 04 40.06,+35 47 14.3,-6484138977084564858
00047+3416,STF3056,AB,1831,2020,158,142,0.6,0.8,7.72,8.08,+33 4827,NO,,00 04 40.09,+34 15 54.7,00 04 40.09,+34 15 54.7,4409110116888576075
00047+3416,STF3056,"AB,C",1827,2024,352,4,15.0,25.7,7.13,10.13,,NL S,,00 04 40.09,+34 15 54.7,00 04 40.09,+34 15 54.7,-7101581851697688767
00047+3416,STF3056,"AB,D",1894,2020,238,238,96.0,95.2,7.13,10.61,,NV,,00 04 40.09,+34 15 54.7,00 04 40.09,+34 15 54.7,-8185450179943386234
00047+3416,FYM 148,"AB,E",2000,2016,92,92,108.3,109.0,7.13,14.51,,NU,,00 04 40.09,+34 15 54.7,00 04 40.09,+34 15 54.7,8290848530357449488
00047+3416,FYM 148,"AB,F",2000,2016,10,10,94.7,94.7,7.13,16.5,,NU,,00 04 40.09,+34 15 54.7,00 04 40.09,+34 15 54.7,391516941408031688
00047+3416,STF3056,CD,1894,2015,228,227,109.3,113.1,10.13,10.61,,NS,,00 04 40.19,+34 16 20.0,00 04 40.19,+34 16 20.0,-529208842957102125
00048+5727,ES 1805,,1920,2016,43,33,2.5,2.7,10.03,12.5,+56 3140,,,00 04 44.04,+57 27 52.6,00 04 44.04,+57 27 52.6,5354078767754052988
00048+5510,STI3091,,1917,2015,96,93,10.8,11.1,12.6,13.2,,,,00 04 46.92,+55 10 01.7,00 04 46.92,+55 10 01.7,2805418553786228829
00048+4358,A   203,,1900,2020,334,348,1.3,2.0,8.68,9.35,+43 4624,,,00 04 50.79,+43 58 15.0,00 04 50.79,+43 58 15.0,-6749925979638140260
00048+3810,BU  862,,1881,2024,105,31,0.5,1.0,10.02,10.18,+37 4930,O T,,00 04 46.86,+38 10 25.2,00 04 46.86,+38 10 25.2,-9155817548234560086
00048+3721,LDS3118,,1954,2016,310,310,212.8,212.9,12.1,17.5,,,,00 04 51.61,+37 21 19.1,00 04 51.61,+37 21 19.1,-5949266114492157170
00048+2912,SKF1656,,2003,2015,187,189,2.3,2.1,20.1,18.0,,,,00 04 47.78,+29 11 41.0,00 04 47.78,+29 11 41.0,-2933516483665008845
00048-0952,HU  100,,1899,2015,350,344,4.3,4.0,10.7,11.1,-10 6223,,,00 04 46.97,-09 51 53.2,00 04 46.97,-09 51 53.2,-5740032335163237315
00048-2938,DCH 125,,2015,2015,346,346,0.7,0.7,8.3,11.4,-3019818,K,,00 04 50.82,-29 37 58.9,00 04 50.82,-29 37 58.9,-1558274491067351265
00048-3450,SKF1192,,1976,2016,140,145,4.8,5.1,10.4,13.0,-3516056,,,00 04 48.60,-34 49 59.6,00 04 48.60,-34 49 59.6,-6600473624626788673
00048-4603,KPP1385,,1997,2015,63,61,10.5,10.4,12.3,14.5,,V,,00 04 47.51,-46 02 47.7,00 04 47.51,-46 02 47.7,-3117393997133802999
00049+5933,STI1264,,1910,2016,354,355,6.9,7.2,10.89,12.6,,,,00 04 51.77,+59 33 50.3,00 04 51.77,+59 33 50.3,-8244863208140413528
00049+5832,STF3057,,1828,2015,302,298,3.5,3.9,6.7,9.3,+57 2855,N,,00 04 54.98,+58 31 55.8,00 04 54.98,+58 31 55.8,3156112055780439681
00049+4939,ES  864,,1909,2021,174,167,9.0,9.0,9.4,10.9,+48 4239,,,00 04 53.97,+49 38 51.6,00 04 53.97,+49 38 51.6,-3814241227164231494
00049+4554,VYS   1,,1924,2016,208,208,3.0,2.9,10.5,10.5,,,,00 04 55.30,+45 54 52.6,00 04 55.30,+45 54 52.6,2568699636801848162
00049+4540,BU  997,,1879,2020,340,337,4.3,3.9,7.64,9.39,+44 4549,,,00 04 57.53,+45 40 25.6,00 04 57.53,+45 40 25.6,2370982932967170910
00049+3005,A  1250,AB,1905,2017,90,41,0.4,0.9,8.22,9.65,+29 5057,,,00 04 51.96,+30 05 09.4,00 04 51.96,+30 05 09.4,-6602885420812336578
00049+3005,STT 548,AC,1861,1861,64,64,28.6,28.6,8.22,,,X,,00 04 51.96,+30 05 09.4,00 04 51.96,+30 05 09.4,-3484633418689220888
00049+2639,FOX 103,,1895,2015,121,149,23.4,13.1,6.25,10.72,+25 5068,,,00 04 55.93,+26 38 55.7,00 04 55.93,+26 38 55.7,4584516523443779408
00049+0451,NSC   1,,2017,2017,15,15,14.6,14.6,13.2,15.3,,V K,,00 04 56.31,+04 51 17.2,00 04 56.31,+04 51 17.2,-1571846856323611162
00049-0104,WAA  59,,2002,2016,331,331,2.7,2.6,18.7,19.0,,,,00 04 51.21,-01 04 23.2,00 04 51.21,-01 04 23.2,-4511240791206696027
00049-0516,SLW   3,,1989,2015,42,42,142.1,142.1,14.8,19.6,,V R,,00 04 53.58,-05 15 59.7,00 04 53.58,-05 15 59.7,-3783058046492984325
00049-1320,GAL 295,,1900,2016,19,19,40.9,39.1,10.65,11.74,-14 6614,N,,00 05 00.65,-13 19 39.2,00 05 00.65,-13 19 39.2,6377813146303240346
00049-1811,UC  313,,1999,2016,240,240,18.1,18.1,9.5,11.9,,V,,00 04 56.92,-18 10 43.4,00 04 56.92,-18 10 43.4,7188071368796100415
00049-2024,LDS2081,,1952,2015,267,269,87.0,90.2,13.82,16.43,,U,,00 04 49.93,-20 23 15.6,00 04 49.93,-20 23 15.6,-6751603057988849539
00049-2355,LDS5258,,1960,2015,45,42,55.0,56.7,14.07,15.68,,,,00 04 58.34,-23 54 58.9,00 04 58.34,-23 54 58.9,764084942662376266
00049-3230,SEE 500,,1896,2016,203,142,0.9,1.3,8.66,12.3,-3316835,,,00 04 52.63,-32 29 23.4,00 04 52.63,-32 29 23.4,4813473250664494834
00049-3718,KPP4408,,1998,2016,77,76,14.0,14.1,10.4,14.6,,T,,00 04 55.94,-37 17 53.5,00 04 55.94,-37 17 53.5,-1999199564314889385
00049-5554,DAM1266,,1993,2015,210,209,9.4,9.5,10.5,13.6,-5610215,,,00 04 56.99,-55 54 06.7,00 04 56.99,-55 54 06.7,8498702064122369867
00049-6121,TSN  12,,1998,2015,206,206,179.4,179.5,10.7,16.4,,V R,,00 04 56.22,-61 20 58.1,00 04 56.22,-61 20 58.1,-8041771964991501805
00049-7022,TDS1285,,1991,1991,284,284,0.5,0.5,11.26,11.46,,X,,00 04 55.09,-70 22 24.2,00 04 55.09,-70 22 24.2,761068388981659230
00050+6822,WIS   2,,1999,2010,216,216,999.9,999.9,15.0,17.2,,V R,,00 05 02.68,+68 22 11.9,00 05 02.68,+68 22 11.9,-4173628852195788827
00050+6631,MLR 101,,1970,2021,128,126,1.5,1.8,8.74,11.9,+65 1995,,,00 05 01.88,+66 31 00.5,00 05 01.88,+66 31 00.5,5081937097930461261
00050+2125,J   629,,1911,2021,295,300,0.8,1.5,11.8,12.0,,,,00 05 01.69,+21 24 56.7,00 05 01.69,+21 24 56.7,-753487113173965361
00050+0835,GWP  11,,1919,2016,180,185,7.7,8.0,12.5,12.9,,N,,00 04 57.02,+08 35 06.0,00 04 57.02,+08 35 06.0,5628504627406811812
00050-6050,UC  314,,1998,2016,277,277,14.1,14.0,13.6,16.0,,V R,,00 04 58.78,-60 50 09.1,00 04 58.78,-60 50 09.1,72375704596313788
00051+6323,HJ 1933,,1828,2015,92,97,15.0,15.0,11.41,11.27,+62 2360,N,,00 05 05.72,+63 23 05.9,00 05 05.72,+63 23 05.9,-8847609774426642642
00052+5115,TDS1286,,1991,1991,297,297,0.6,0.6,11.5,11.51,,X,,00 05 13.98,+51 15 06.9,00 05 13.98,+51 15 06.9,6035389846421263719
00052+4514,ES 9001,AB,1914,2016,120,107,13.3,16.0,6.7,13.7,+44 4550,N,,00 05 09.75,+45 13 44.5,00 05 09.75,+45 13 44.5,-3958297353594748479
00052+4514,BU 9001,AC,1893,2021,236,236,21.4,21.2,6.69,10.58,,NV,,00 05 09.75,+45 13 44.5,00 05 09.75,+45 13 44.5,-8744391118001777405
00052+4358,POP 198,,1989,2016,25,24,2.8,3.3,10.0,10.8,,,,00 05 10.79,+43 58 42.1,00 05 10.79,+43 58 42.1,-3435291597345635417
00052+3020,STF3058,,1828,2021,50,52,12.0,12.6,7.81,9.21,+29 5059,,,00 05 09.24,+30 19 44.5,00 05 09.24,+30 19 44.5,-6686590438142297851
00052+2422,SKF1814,,2004,2004,66,66,1.3,1.3,14.4,16.3,,,,00 05 09.31,+24 22 06.6,00 05 09.31,+24 22 06.6,-3592216948135047563
00052+0204,J  1801,,1941,2023,70,50,5.0,2.7,12.4,13.1,,S,,00 05 05.54,+02 03 37.1,00 05 05.54,+02 03 37.1,583678539622874867
00052-0151,ITF 216,,1951,2017,38,38,15.1,15.1,9.1,14.5,,,,00 05 10.56,-01 51 13.0,00 05 10.56,-01 51 13.0,-1437775422843024411
00052-2632,LDS2082,,1954,2016,195,196,4.0,3.7,16.5,16.8,,,,00 05 10.80,-26 30 38.0,00 05 10.80,-26 30 38.0,4548016825463347725
00052-4547,B   635,,1926,2016,322,333,1.4,1.5,9.88,12.3,-4614858,,,00 05 14.09,-45 47 03.3,00 05 14.09,-45 47 03.3,3361963432013321560
00052-5548,B  2061,,1930,2016,5,2,1.0,1.3,10.7,13.7,-5610218,,,00 05 09.60,-55 47 42.1,00 05 09.60,-55 47 42.1,-801942962205257258
00053+8241,STF3059,,1831,2016,335,323,1.5,2.0,10.57,11.17,+81  842,,,00 05 15.87,+82 41 48.6,00 05 15.87,+82 41 48.6,-5626227512685168507
00053+3533,COU 746,,1972,2017,109,106,0.5,0.6,9.9,10.4,+34 5062,,,00 05 19.57,+35 32 30.7,00 05 19.57,+35 32 30.7,6136685840709944790
00053-0523,UC  315,,1954,2015,257,257,19.8,19.7,15.2,15.4,,V R,,00 05 16.94,-05 22 32.7,00 05 16.94,-05 22 32.7,3702480109232314983
00053-1503,TDS1287,,1991,1991,83,83,0.4,0.4,10.6,10.63,-15 6537,X,,00 05 20.28,-15 03 28.4,00 05 20.28,-15 03 28.4,-6537743692048834141
00053-1857,UC  316,,1951,2015,281,278,25.7,25.5,12.2,15.4,,V R,,00 05 15.66,-18 57 05.5,00 05 15.66,-18 57 05.5,-4241119616488508457
00054+3348,COU 646,,1971,2018,328,330,0.4,0.5,10.83,10.8,+33 4831,,,00 05 22.95,+33 49 03.2,00 05 22.95,+33 49 03.2,7129098371943327430
00054+1620,STTA255,,1874,2016,337,337,89.2,88.2,8.69,8.86,+15 4935,NV,,00 05 24.30,+16 19 44.4,00 05 24.30,+16 19 44.4,-94298607705326151
00054-2306,LDS2083,,1952,2015,315,317,25.0,22.9,14.3,15.8,,,,00 05 23.07,-23 05 59.5,00 05 23.07,-23 05 59.5,-2859395417302645584
00054-2559,LDS3119,,1960,2016,140,139,3.5,3.0,12.6,13.9,,N,,00 05 26.23,-25 58 35.1,00 05 26.23,-25 58 35.1,-1314743665249908475
00054-2746,LDS2084,,1954,2016,217,222,3.0,2.2,15.5,15.8,,,,00 05 22.33,-27 46 26.1,00 05 22.33,-27 46 26.1,-3189225751807560960
00055+6513,MLB 242,,1910,2016,77,73,4.0,4.1,11.22,11.25,+64 1896,,,00 05 30.78,+65 11 49.2,00 05 30.78,+65 11 49.2,-8916211294633432617
00055+6133,STI   1,,1904,2015,66,53,11.7,12.7,11.47,11.5,,,,00 05 28.37,+61 33 03.7,00 05 28.37,+61 33 03.7,-5808657238615247732
00055+5251,MLR 645,,1984,2017,315,325,0.3,0.3,10.12,,+52 3597,I,,00 05 30.58,+52 50 48.2,00 05 30.58,+52 50 48.2,5075690510379311345
00055+5031,HU  501,,1902,2015,256,255,4.6,4.7,8.02,13.2,+49 4329,,,00 05 29.90,+50 31 14.9,00 05 29.90,+50 31 14.9,7818659382558406095
00055+4520,ES 1192,,1913,2016,299,310,1.7,1.7,10.29,10.99,+44 4551,,,00 05 26.54,+45 21 08.6,00 05 26.54,+45 21 08.6,6800584342477617848
00055+3406,HU 1201,AB,1904,2015,310,312,0.2,0.1,8.2,9.76,+33 4832,NO,,00 05 29.06,+34 06 20.4,00 05 29.06,+34 06 20.4,-275264772588621506
