PGC,RAJ2000,DEJ2000,OType,MType,logD25,logR25,PA,ANames
1524287,00 00 10.0,+17 05 10,G,,0.53,0.14,127.0,
199349,00 00 10.1,-34 26 34,G,,0.6,0.17,109.0,DUKST349-107
143112,00 00 10.1,-29 09 51,G,,0.77,0.46,168.0,
740598,00 00 10.1,-28 31 40,G,,0.42,0.23,120.0,
1171243,00 00 10.2,+00 38 03,G,,0.36,0.12,111.0,
2126041,00 00 10.2,+38 24 14,G,,0.68,0.44,130.0,
1292751,00 00 10.2,+05 59 51,G,,0.67,0.04,,
404170,00 00 10.3,-55 59 18,G,,0.56,0.41,112.0,
712391,00 00 10.4,-30 50 07,G,,0.47,0.12,48.0,
17,00 00 10.4,+04 55 51,G,,,,,UM15
1712039,00 00 10.5,+24 37 29,G,,0.45,0.28,0.0,
661266,00 00 10.5,-34 30 38,G,,0.55,0.44,109.0,
1324628,00 00 10.5,+07 32 51,G,,0.51,0.06,66.0,
835348,00 00 10.6,-20 54 23,G,,0.46,0.31,137.0,
1672379,00 00 10.6,+22 34 13,G,,0.47,0.21,140.0,
685756,00 00 10.6,-32 48 33,G,,0.33,0.1,14.0,
848756,00 00 10.7,-19 55 05,G,,0.37,0.14,122.0,
616386,00 00 10.7,-37 52 05,G,,0.46,0.25,161.0,
143113,00 00 10.7,-48 31 26,G,,0.72,0.15,114.0,
874861,00 00 10.8,-17 57 19,G,,0.54,0.48,151.0,
1011026,00 00 11.0,-07 54 59,G,,0.43,0.31,111.0,
124375,00 00 11.0,-41 32 00,G,,,,,LCRSB235737.0-414841
1808464,00 00 11.1,+27 26 55,G,,0.47,0.24,56.0,
2050562,00 00 11.1,+34 31 39,G,,0.69,0.11,154.0,NPM1G+34.0480
363523,00 00 11.1,-60 24 58,G,,0.41,0.21,92.0,
879655,00 00 11.1,-17 39 29,G,,0.45,0.17,43.0,
95111,00 00 11.1,-47 07 45,G,SO-a,0.65,0.38,126.0,
16,00 00 11.3,-05 09 32,G,Sab,0.96,0.31,37.0,MCG-1-01-017
977924,00 00 11.3,-10 27 41,G,,0.49,0.34,70.0,
928210,00 00 11.3,-14 09 28,G,,0.49,0.21,60.0,
1587819,00 00 11.3,+19 18 32,G,,0.41,0.06,148.0,
1891299,00 00 11.4,+30 07 37,G,,0.49,0.13,110.0,
124376,00 00 11.4,-41 22 34,G,,,,,LCRSB235737.4-413915
661506,00 00 11.5,-34 29 32,G,,0.38,0.13,147.0,
2794828,00 00 11.5,-39 35 26,G,,,,,
519264,00 00 11.5,-46 04 44,G,,0.37,0.16,97.0,
660701,00 00 11.6,-34 33 17,G,,0.57,0.33,153.0,
1011317,00 00 11.7,-07 53 53,G,,0.39,0.21,11.0,
874834,00 00 11.7,-17 57 26,G,,0.6,0.43,5.0,
408788,00 00 11.7,-55 29 48,G,,0.59,0.56,120.0,
656049,00 00 11.7,-34 53 52,G,,0.36,0.17,142.0,
3095388,00 00 11.7,+05 23 17,G,,,,,
1448967,00 00 11.8,+14 05 23,G,,0.67,0.31,108.0,
623522,00 00 11.9,-37 24 49,G,,0.54,0.29,92.0,
939754,00 00 11.9,-13 18 24,G,,0.67,0.56,15.0,
