main_id,ra,dec,otype,framework_id
CWNU 1126,332.2541291666666,64.07274444444444,OpC,134592342223214224
CWNU 1140,64.1919875,51.1429,OpC,2802745656701064479
CWNU 1147,81.31684166666666,31.244633333333336,OpC,-8311823683130950685
CWNU 1148,315.04404166666666,39.00003333333333,OpC,4796394264839317951
CWNU 1149,256.8756083333333,20.28128055555556,OpC,7835344993501172611
CWNU 1153,273.3971208333333,-54.322969444444446,OpC,-2977487807683295510
CWNU 1157,106.5009125,-16.057858333333332,OpC,-1679951900223022355
CWNU 1158,83.845975,44.16296944444444,OpC,-1653156953482953367
CWNU 1159,130.924675,-46.99920277777778,OpC,-1498813696144966130
CWNU 1163,126.2898208333333,-42.831477777777785,OpC,-1332014356211782508
CWNU 1164,339.23502499999995,-0.5081166666666667,OpC,989001281687972116
CWNU 1180,272.57286250000004,-74.81656388888888,OpC,-5296579706221793922
CWNU 1181,102.26,-15.03,OpC,6774598031703390329
CWNU 1183,295.6691666666667,38.27611111111111,OpC,-1099142971581516269
CWNU 1184,91.72322916666666,10.98850277777778,OpC,7200573551786666300
CWNU 1185,283.36931250000004,-20.14384722222222,OpC,2637198772027114406
CWNU 1186,298.3808666666667,7.776047222222223,OpC,-4569556353715434218
CWNU 1188,269.77216666666664,2.8994166666666663,OpC,-1193620303658382919
CWNU 1189,329.48254583333335,62.528019444444446,OpC,432480193218969685
CWNU 1190,69.25740833333334,45.34153333333334,OpC,3697219850146358548
CWNU 1191,72.39,52.35,OpC,-2797109761746892177
CWNU 1192,318.7219541666667,59.33320277777778,OpC,-8259343188751019371
CWNU 1193,299.99992916666673,69.81487777777777,OpC,-4687539959235039065
CWNU 1194,130.30086666666668,-41.21706388888889,OpC,-6755946791609195865
CWNU 1195,67.01322916666668,-49.84838888888889,OpC,-4641883319910735476
CWNU 1196,169.02,-70.85,OpC,6138233155450585615
CWNU 1198,183.89,-70.62,OpC,1017600437803423149
CWNU 1199,312.4138041666667,44.845002777777786,OpC,-4019675818846618309
CWNU 1200,327.6544374999999,41.100311111111104,OpC,-5094920735475299719
CWNU 1201,287.7586125,44.238194444444446,OpC,2201048966478008978
CWNU 1202,50.69072916666666,38.70368611111112,OpC,-2539871551128494172
CWNU 1204,107.4229625,-25.258577777777777,OpC,2232055156615144782
CWNU 1207,316.8699166666667,52.15460555555555,OpC,8003704633511596053
CWNU 1210,153.42332083333332,-46.87218333333333,OpC,4824440375271118588
CWNU 1211,285.0673541666667,69.571225,OpC,-4301504602245760311
CWNU 1213,261.2301291666667,-49.89646388888889,OpC,7138089190822970269
CWNU 1240,338.68870416666664,69.18102777777779,OpC,2526104178211829376
CWNU 1242,65.71641249999999,15.21612777777778,OpC,-2227847872793155225
CWNU 1243,307.88860416666665,39.02310277777778,OpC,2142148443131010115
CWNU 1244,326.47395416666666,57.55385,OpC,3403535899180287172
CWNU 1245,282.2523583333333,-2.420172222222222,OpC,6986651008547939010
CWNU 1246,31.552295833333336,56.73535,OpC,3902985014689187986
CWNU 1247,61.62181666666667,39.85688611111112,OpC,8796087532706640103
CWNU 1248,80.8506375,37.38997777777777,OpC,5660708941488863164
CWNU 1249,318.3540125,46.41996388888889,OpC,-534356264768348903
CWNU 1250,307.4680041666666,-30.82418611111112,OpC,3001729382322155483
CWNU 1251,80.00635416666667,-6.970472222222221,OpC,-6782249114836302368
CWNU 1252,41.177958333333336,60.51303055555555,OpC,8287288399439355067
CWNU 1253,14.554654166666667,20.385388888888887,OpC,536071676005405863
