RA_ICRS,DE_ICRS,Source,e_RA_ICRS,e_DE_ICRS,Plx,e_Plx,PM,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,FG,e_FG,Gmag,FBP,e_FBP,BPmag,FRP,e_FRP,RPmag,BP-RP,RV,e_RV,Vbroad,GRVSmag,QSO,Gal,NSS,XPcont,XPsamp,RVS,EpochPh,EpochRV,MCMCGSP,MCMCMSC,And,Teff,logg,[Fe/H],Dist,A0,HIP,PS1,SDSS13,SKYM2,TYC2,URAT1,AllWISE,APASS9,GSC23,RAVE5,2MASS,RAVE6,ra,dec,frame_hash
45.86908445949,4.41466060063,3669620058195200,0.3421,0.3223,0.5983,0.4114,8.542,2.678,0.424,-8.112,0.384,1.08,378.62129,1.3504,19.241854,173.13,7.4314,19.742588,278.0,10.561,18.63777,1.104818,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1.1329045869052805e+17,1.2376786238579674e+18,,,,,,NC27007909,,,,45.86907252257,4.4146966529,-4087158473370760925
45.87055147784,4.42612326249,3669688777677568,0.186,0.2166,2.5484,0.2604,24.209,13.867,0.261,-19.843,0.272,0.908,735.82447,2.1791,18.520432,96.491,11.111,20.377325,1025.6,24.525,17.220469,3.156856,,,,,0,0,0,0,0,0,0,0,1,0,0,3206.6,4.9456,-0.0128,301.8155,0.3501,,1.133104587047718e+17,1.2376786238579674e+18,,,,J030328.92+042534.1,,NC27008024,,03032891+0425341,,45.87048966067,4.42621145483,110896097873959083
45.8740924984,4.42751344525,3669688777678336,0.1543,0.1772,0.5867,0.2124,16.216,6.629,0.209,-14.799,0.226,1.053,974.84103,2.0232,18.215033,372.49,11.209,18.910765,804.13,14.366,17.484585,1.42618,,,,,0,0,0,0,0,0,0,0,1,1,0,4328.7,4.78,-0.8326,1250.4962,0.006,,1.1331045874019346e+17,1.2376786238579674e+18,,,,J030329.76+042538.9,,NC27008037,,03032976+0425391,,45.87406294742,4.42757922075,-8508289105915725018
45.87408689791,4.43523805766,3669723137502080,1.0286,1.1023,2.4932,1.6522,8.862,4.765,1.256,-7.471,1.53,1.124,132.26736,1.1849,20.383736,59.202,7.986,20.907705,168.91,14.434,19.178736,1.72897,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1.1332045874015272e+17,1.2376786238579674e+18,,,,J030329.82+042606.8,,NC27011808,,,,45.87406565552,4.435271263,188595966860395313
45.8773184577,4.43931659605,3669723137706112,2.2055,2.1768,,,,,,,,,97.51192,1.8294,20.714722,53.942,16.779,21.008722,68.397,30.824,20.160297,0.848425,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1.1332045877312762e+17,1.2376786238579676e+18,,,,,,,,,,45.8773184577,4.43931659605,2778002216385634263
45.90423854231,4.43607901643,3669757497440128,0.8808,0.9332,2.1515,1.0828,9.391,8.372,1.156,-4.255,1.333,0.985,111.90907,1.0535,20.565205,44.309,11.398,21.222315,173.76,19.253,19.147999,2.074316,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1.133204590420637e+17,1.2376786238579674e+18,,,,,,,,,,45.90420122034,4.43609792751,-1190404696081087684
45.90317977505,4.43624928737,3669761792243840,0.0777,0.0758,0.8594,0.1004,9.146,8.038,0.096,-4.364,0.093,1.074,2702.16305,2.828,17.108088,1066.0,10.73,17.769157,2351.3,14.444,16.319614,1.449543,,,,,0,0,0,0,0,0,0,0,1,1,0,4306.2,4.4402,-0.4039,1219.8805,0.0944,,1.1332045903107394e+17,1.2376786238579674e+18,,,URAT1-473010739,J030336.77+042610.4,,NC27008127,,03033674+0426103,,45.90314394307,4.43626868253,8753929834176901125
45.86748157483,4.4480017305,3669933590935808,0.0293,0.0321,0.9157,0.0421,5.809,5.774,0.039,0.641,0.04,0.972,17849.21395,6.8273,15.058319,8737.3,32.207,15.485103,13085.0,26.118,14.45593,1.029173,,,,,0,0,0,0,0,0,0,0,1,1,0,5625.3,4.4537,-0.3087,824.2492,0.4808,,1.1333045867409805e+17,1.237678623857967e+18,,,URAT1-473010734,J030328.19+042652.8,16029.0,NC27000280,,03032817+0426526,,45.86745583545,4.4479988819,-1020680013738058984
45.8755693546,4.45752800357,3670036670150656,0.0384,0.0419,1.3019,0.0513,7.856,4.525,0.052,-6.422,0.055,0.955,9084.17435,4.347,15.791654,3812.8,13.354,16.38544,7492.8,23.348,15.061279,1.324161,,,,,0,0,0,1,0,0,0,0,1,1,0,4797.3,4.5895,0.1062,700.1229,0.2895,,1.1334045875496947e+17,1.237678623857967e+18,,,URAT1-473010737,J030330.13+042727.1,16030.0,NC27008347,,03033012+0427270,,45.87554918159,4.45755654393,-3408552945950746663
45.88814181706,4.4567597483,3670066734811648,0.2764,0.3216,-0.0014,0.3822,3.381,3.303,0.368,-0.724,0.403,0.995,427.90178,1.5252,19.109007,191.28,9.8515,19.63435,352.04,12.337,18.38141,1.252939,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1.1334045888103854e+17,1.2376786238579674e+18,,,,J030333.10+042724.6,,NC27008337,,,,45.88812709398,4.45676296626,-4452756331336828544
