ra,dec,err_maj,err_min,err_ang,designation,j_m,j_cmsig,j_msigcom,j_snr,h_m,h_cmsig,h_msigcom,h_snr,k_m,k_cmsig,k_msigcom,k_snr,ph_qual,rd_flg,bl_flg,cc_flg,ndet,prox,pxpa,pxcntr,gal_contam,mp_flg,cntr,hemis,xdate,scan,glon,glat,x,y,z,x_scan,jdate,j_psfchi,h_psfchi,k_psfchi,j_m_stdap,j_msig_stdap,h_m_stdap,h_msig_stdap,k_m_stdap,k_msig_stdap,dist_edge_ns,dist_edge_ew,dist_edge_flg,dup_src,use_src,a,dist_opt,phi_opt,b_m_opt,vr_m_opt,nopt_mchs,ext_key,scan_key,coadd_key,coadd,htm20,framework_id,frame_hash
10.640895,41.223331,0.38,0.37,165,00423381+4113239,16.411,0.1845,0.1849,9.18,16.062,0.3327,0.3328,4.72,15.441,0.282,0.2821,5.43,CDD,222,111,000,50505,10.8,124,422825269,2,0,422825254,n,1998-11-23,72,121.137112,-21.617363,0.739212564843,0.138886037849,0.658995790934,-201.56,2451140.7447,1.4,1.02,1.08,18.676,7.924,16.718,2.066,16.237,2.255,2814.4,49.3,ne,1,1,0,0.0,0.0,0.0,0.0,0,0.0,25123,577809,33,4805203679548168192,-3000728236024518779,-2872681760959027112
10.644177,41.221638,0.27,0.25,124,00423460+4113178,15.259,0.0,0.0,0.0,14.683,0.0,0.0,0.0,15.04,0.2026,0.2028,7.86,UUC,2,1,000,5,8.9,204,1287660687,2,0,422825269,n,1998-11-23,72,121.139698,-21.619146,0.739223744911,0.138931977627,0.658973565898,-210.45,2451140.7447,0.0,0.0,0.88,0.0,0.0,0.0,0.0,15.54,0.562,2820.4,40.4,ne,0,0,0,0.0,0.0,0.0,0.0,0,0.0,25123,577809,33,4805203679549185024,-106892521174442998,-813158936614872564
10.649876,41.221798,0.24,0.22,54,00423597+4113184,16.615,0.2258,0.2261,7.61,15.496,0.1766,0.1768,7.95,14.349,0.0,0.0,0.0,DCU,220,210,c00,60500,5.5,160,1287660682,2,0,422825272,n,1998-11-23,72,121.144312,-21.619145,0.739208113696,0.139005164719,0.65897566634,-225.88,2451140.7447,0.8,0.85,0.0,18.098,3.577,16.65,1.534,0.0,0.0,2819.8,25.0,ne,0,0,0,0.0,0.0,0.0,0.0,0,0.0,25123,577809,33,4805203679549765120,-3740527250407830367,4967763709905477056
10.655654,41.245872,0.33,0.3,92,00423735+4114451,14.166,0.0,0.0,0.0,15.24,0.256,0.2561,11.96,13.248,0.0,0.0,0.0,UDU,20,30,0c0,500,4.9,149,1287660425,2,0,1287660401,n,1997-10-24,8,121.149937,-21.595249,0.738921919024,0.139028500085,0.659291645442,168.0,2450745.8589,0.0,0.95,0.0,0.0,0.0,15.164,0.307,0.0,0.0,2761.9,82.9,nw,0,1,0,0.0,0.0,0.0,0.0,0,0.0,69157,1590591,33,4805203679550501888,5660371951345484232,-903916191323529989
10.655265,41.240582,0.25,0.24,69,00423726+4114260,14.097,0.0,0.0,0.0,15.084,0.1917,0.1919,13.81,13.191,0.0,0.0,0.0,UCU,20,10,000,500,5.8,318,1287660470,2,0,1287660491,n,1997-10-24,8,121.149414,-21.600524,0.738982681221,0.139034737718,0.659222222443,169.07,2450745.8589,0.0,1.06,0.0,0.0,0.0,14.426,0.084,0.0,0.0,2780.9,81.8,nw,0,1,0,0.0,0.0,0.0,0.0,0,0.0,69157,1590591,33,4805203679551455744,-2970140269705035671,2855740808945674445
10.652971,41.240768,0.21,0.2,93,00423671+4114267,14.114,0.0,0.0,0.0,13.248,0.0,0.0,0.0,14.793,0.1647,0.1649,10.95,UUC,662,2,00c,5,4.1,165,1287660503,2,0,1287660486,n,1997-10-24,8,121.147567,-21.600275,0.73898614412,0.139004754718,0.659224663498,175.28,2450745.8589,0.0,0.0,1.94,0.0,0.0,0.0,0.0,14.004,0.066,2780.3,75.6,nw,1,1,0,0.0,0.0,0.0,0.0,0,0.0,69157,1590591,33,4805203679551787008,9177568380562526327,3727614014527126138
10.653812,41.241783,0.23,0.22,0,00423691+4114304,15.866,0.17,0.1704,14.66,13.262,0.0,0.0,0.0,13.113,0.0,0.0,0.0,CUU,200,200,c00,40000,2.9,320,1287660461,2,0,1287660470,n,1997-10-24,8,121.148287,-21.599284,0.738972626664,0.139013442676,0.659237984188,173.0,2450745.8589,1.42,0.0,0.0,14.994,0.083,0.0,0.0,0.0,0.0,2776.6,77.9,nw,0,1,0,0.0,0.0,0.0,0.0,0,0.0,69157,1590591,33,4805203679551816704,6524740881727797227,-5726530286503683819
10.653128,41.242405,0.16,0.15,85,00423675+4114326,14.199,0.0,0.0,0.0,14.825,0.1615,0.1617,17.54,14.909,0.1798,0.18,9.84,UCC,22,11,000,505,2.9,140,1287660470,2,0,1287660461,n,1997-10-24,8,121.147759,-21.598643,0.738967252814,0.139003297766,0.659246147109,174.85,2450745.8589,0.0,1.3,1.08,0.0,0.0,14.102,0.109,14.228,0.266,2774.4,76.0,nw,1,1,0,0.0,0.0,0.0,0.0,0,0.0,69157,1590591,33,4805203679552425472,-3778234592785934301,8086262640326107728
10.646384,41.235641,0.15,0.14,24,00423513+4114083,15.682,0.1407,0.1412,17.36,15.236,0.1534,0.1536,12.01,13.722,0.0,0.0,0.0,BBU,220,110,000,50500,10.0,283,422825098,2,0,1287660559,n,1997-10-24,8,121.14204,-21.605216,0.73906009092,0.138930693941,0.659157374449,193.13,2450745.8589,1.01,0.96,0.0,15.317,0.073,14.986,0.234,0.0,0.0,2798.9,57.7,nw,1,1,0,0.0,0.0,0.0,0.0,0,0.0,69157,1590591,33,4805203679552998912,-1972131369723748364,2580039910179136433
10.645672,41.24242,0.25,0.21,81,00423496+4114327,14.317,0.0,0.0,0.0,15.091,0.1937,0.1939,13.72,13.434,0.0,0.0,0.0,UCU,620,20,0c0,500,4.5,338,1287660443,2,0,1287660459,n,1997-10-24,8,121.141734,-21.598421,0.73898516568,0.138907101605,0.659246343963,195.03,2450745.8589,0.0,0.64,0.0,0.0,0.0,14.497,0.162,0.0,0.0,2774.5,55.8,nw,0,1,0,0.0,0.0,0.0,0.0,0,0.0,69157,1590591,33,4805203679553981440,-3506508679211441279,6531605824028522800
