r_kpc,v_obs,v_obs_err,v_gas,v_disk,v_bulge,sb_disk,sb_bulge,galaxy,source_type,dist,inc,lum,type
30.53,311.0,11.5,45.08,233.85,0.0,4.31,0.0,ESO563-G021,LTG,,,,
32.18,310.0,14.5,52.43,224.75,0.0,2.73,0.0,ESO563-G021,LTG,,,,
33.91,313.0,15.9,59.7,216.21,0.0,1.63,0.0,ESO563-G021,LTG,,,,
35.65,320.0,8.83,61.56,208.83,0.0,1.34,0.0,ESO563-G021,LTG,,,,
37.3,321.0,7.88,63.33,202.65,0.0,0.94,0.0,ESO563-G021,LTG,,,,
39.03,320.0,8.0,62.96,196.77,0.0,0.72,0.0,ESO563-G021,LTG,,,,
40.76,315.0,9.82,62.4,191.39,0.0,0.59,0.0,ESO563-G021,LTG,,,,
42.41,312.0,9.07,62.21,186.89,0.0,0.59,0.0,ESO563-G021,LTG,,,,
1.61,23.4,10.0,5.21,28.61,0.0,43.88,0.0,F561-1,LTG,,,,
3.23,40.6,5.0,10.57,37.58,0.0,19.59,0.0,F561-1,LTG,,,,
4.84,45.5,5.0,15.71,39.1,0.0,14.19,0.0,F561-1,LTG,,,,
6.45,49.2,5.0,20.94,44.01,0.0,11.07,0.0,F561-1,LTG,,,,
8.06,50.4,5.0,25.97,48.52,0.0,7.95,0.0,F561-1,LTG,,,,
9.66,50.4,5.0,29.26,49.44,0.0,3.35,0.0,F561-1,LTG,,,,
1.07,22.1,7.17,1.98,18.3,0.0,33.42,0.0,F563-1,LTG,,,,
1.78,42.7,10.66,4.03,24.51,0.0,20.43,0.0,F563-1,LTG,,,,
2.49,60.6,7.69,6.25,27.45,0.0,14.31,0.0,F563-1,LTG,,,,
2.97,76.8,11.1,7.78,28.28,0.0,9.63,0.0,F563-1,LTG,,,,
3.04,81.6,17.5,8.01,28.2,0.0,9.31,0.0,F563-1,LTG,,,,
3.19,87.0,8.93,8.49,28.16,0.0,9.15,0.0,F563-1,LTG,,,,
6.95,90.0,24.8,17.83,29.57,0.0,3.35,0.0,F563-1,LTG,,,,
8.58,97.8,9.4,22.83,29.09,0.0,1.88,0.0,F563-1,LTG,,,,
9.26,93.7,25.3,24.91,28.73,0.0,1.68,0.0,F563-1,LTG,,,,
9.89,103.0,23.8,26.69,28.7,0.0,1.49,0.0,F563-1,LTG,,,,
10.08,97.4,11.0,27.31,28.73,0.0,1.43,0.0,F563-1,LTG,,,,
11.84,106.5,9.48,30.86,27.77,0.0,0.72,0.0,F563-1,LTG,,,,
14.56,112.0,11.0,30.44,25.73,0.0,0.36,0.0,F563-1,LTG,,,,
15.43,111.5,9.4,30.7,25.11,0.0,0.28,0.0,F563-1,LTG,,,,
17.93,111.0,24.3,33.36,23.48,0.0,0.14,0.0,F563-1,LTG,,,,
19.02,112.5,7.75,34.35,22.95,0.0,0.1,0.0,F563-1,LTG,,,,
20.1,106.0,10.7,35.34,22.07,0.0,0.0,0.0,F563-1,LTG,,,,
1.31,12.0,5.0,4.66,11.06,0.0,12.6,0.0,F563-V1,LTG,,,,
2.63,21.7,5.0,9.66,16.85,0.0,9.31,0.0,F563-V1,LTG,,,,
3.93,28.6,5.0,13.79,23.41,0.0,7.16,0.0,F563-V1,LTG,,,,
5.24,29.5,5.0,16.46,24.18,0.0,3.64,0.0,F563-V1,LTG,,,,
6.55,28.6,5.0,18.52,23.59,0.0,2.39,0.0,F563-V1,LTG,,,,
7.87,27.3,5.0,20.17,23.33,0.0,2.56,0.0,F563-V1,LTG,,,,
0.28,11.9,7.89,0.95,6.22,0.0,68.0,0.0,F563-V2,LTG,,,,
0.87,34.8,7.89,2.93,17.64,0.0,60.24,0.0,F563-V2,LTG,,,,
1.46,58.5,8.68,4.98,27.33,0.0,50.99,0.0,F563-V2,LTG,,,,
2.05,81.5,14.2,7.2,35.16,0.0,39.39,0.0,F563-V2,LTG,,,,
2.35,91.8,17.5,8.24,37.71,0.0,33.19,0.0,F563-V2,LTG,,,,
4.76,114.0,8.68,16.62,45.06,0.0,10.8,0.0,F563-V2,LTG,,,,
7.86,116.0,8.68,34.33,41.16,0.0,3.01,0.0,F563-V2,LTG,,,,
8.7,117.0,16.6,39.57,40.09,0.0,2.22,0.0,F563-V2,LTG,,,,
10.18,118.0,51.9,39.57,38.11,0.0,1.34,0.0,F563-V2,LTG,,,,
10.47,118.0,40.3,39.57,37.78,0.0,1.24,0.0,F563-V2,LTG,,,,
1.26,21.7,10.0,5.7,11.4,0.0,12.58,0.0,F565-V2,LTG,,,,
2.51,40.3,10.0,10.7,17.23,0.0,5.69,0.0,F565-V2,LTG,,,,
3.78,57.7,7.0,14.75,19.15,0.0,4.01,0.0,F565-V2,LTG,,,,
5.03,68.5,7.0,18.18,18.51,0.0,1.6,0.0,F565-V2,LTG,,,,
6.29,73.5,7.0,21.5,20.41,0.0,1.58,0.0,F565-V2,LTG,,,,
7.54,78.5,5.0,24.72,20.52,0.0,0.6,0.0,F565-V2,LTG,,,,
8.8,83.1,6.0,27.11,18.68,0.0,0.21,0.0,F565-V2,LTG,,,,
1.92,26.9,8.0,-8.25,24.52,0.0,22.17,0.0,F567-2,LTG,,,,
3.83,46.8,5.0,-11.91,32.41,0.0,10.5,0.0,F567-2,LTG,,,,
5.75,47.6,5.0,-2.02,32.86,0.0,5.0,0.0,F567-2,LTG,,,,
7.67,48.1,8.0,17.45,32.97,0.0,3.29,0.0,F567-2,LTG,,,,
9.59,52.2,10.0,24.22,33.05,0.0,1.99,0.0,F567-2,LTG,,,,
0.44,15.7,9.1,-2.08,12.26,0.0,98.11,0.0,F568-1,LTG,,,,
1.32,44.5,9.1,-5.39,28.49,0.0,57.84,0.0,F568-1,LTG,,,,
2.2,69.4,9.1,-6.26,35.84,0.0,38.81,0.0,F568-1,LTG,,,,
3.08,90.0,11.4,-3.53,40.15,0.0,24.49,0.0,F568-1,LTG,,,,
3.96,105.0,9.88,1.83,41.23,0.0,19.47,0.0,F568-1,LTG,,,,
4.84,113.0,16.2,8.4,42.44,0.0,16.02,0.0,F568-1,LTG,,,,
5.53,117.0,24.8,13.64,43.19,0.0,13.79,0.0,F568-1,LTG,,,,
7.48,124.0,9.1,27.27,47.2,0.0,10.81,0.0,F568-1,LTG,,,,
8.37,127.0,9.1,32.13,48.6,0.0,8.48,0.0,F568-1,LTG,,,,
9.24,130.0,9.1,36.26,48.96,0.0,6.88,0.0,F568-1,LTG,,,,
10.13,133.0,9.1,39.77,48.92,0.0,5.7,0.0,F568-1,LTG,,,,
13.23,142.0,23.8,47.41,49.96,0.0,3.23,0.0,F568-1,LTG,,,,
0.64,12.4,8.6,1.18,13.56,0.0,67.54,0.0,F568-3,LTG,,,,
1.18,21.9,6.2,1.55,21.17,0.0,56.11,0.0,F568-3,LTG,,,,
1.8,32.3,1.88,1.6,27.72,0.0,46.3,0.0,F568-3,LTG,,,,
2.03,37.9,6.2,1.54,29.76,0.0,44.1,0.0,F568-3,LTG,,,,
2.78,53.1,9.5,1.46,36.4,0.0,37.67,0.0,F568-3,LTG,,,,
3.0,62.4,11.0,1.62,38.08,0.0,35.56,0.0,F568-3,LTG,,,,
3.64,68.0,6.2,2.96,42.4,0.0,30.26,0.0,F568-3,LTG,,,,
4.19,78.0,7.98,5.28,45.43,0.0,25.29,0.0,F568-3,LTG,,,,
4.6,82.3,6.2,6.86,46.43,0.0,21.07,0.0,F568-3,LTG,,,,
5.14,85.7,6.3,8.92,47.19,0.0,19.58,0.0,F568-3,LTG,,,,
5.39,85.5,6.51,9.95,47.91,0.0,19.11,0.0,F568-3,LTG,,,,
6.31,89.5,15.6,14.48,50.48,0.0,14.95,0.0,F568-3,LTG,,,,
9.1,95.2,15.5,26.69,51.31,0.0,7.98,0.0,F568-3,LTG,,,,
10.17,97.5,6.2,29.9,52.01,0.0,6.77,0.0,F568-3,LTG,,,,
11.99,101.0,10.2,33.72,51.6,0.0,4.47,0.0,F568-3,LTG,,,,
14.02,107.0,10.7,36.41,50.13,0.0,3.11,0.0,F568-3,LTG,,,,
15.94,117.0,11.7,38.69,49.27,0.0,2.41,0.0,F568-3,LTG,,,,
17.98,120.0,12.0,39.0,48.97,0.0,1.66,0.0,F568-3,LTG,,,,
0.39,17.4,30.4,-1.11,12.25,0.0,99.83,0.0,F568-V1,LTG,,,,
1.18,46.3,37.1,-2.76,28.99,0.0,60.79,0.0,F568-V1,LTG,,,,
1.95,69.1,13.1,-2.63,34.78,0.0,34.2,0.0,F568-V1,LTG,,,,
2.74,85.2,6.2,-0.03,37.08,0.0,27.14,0.0,F568-V1,LTG,,,,
3.53,93.2,6.2,3.84,41.2,0.0,22.68,0.0,F568-V1,LTG,,,,
4.3,100.0,12.4,7.34,44.37,0.0,16.78,0.0,F568-V1,LTG,,,,
5.09,108.0,6.2,9.92,45.35,0.0,11.52,0.0,F568-V1,LTG,,,,
5.87,112.0,6.2,12.15,44.94,0.0,9.36,0.0,F568-V1,LTG,,,,
6.4,113.0,24.9,13.65,45.12,0.0,8.08,0.0,F568-V1,LTG,,,,
7.44,113.0,15.5,17.06,45.76,0.0,6.21,0.0,F568-V1,LTG,,,,
8.21,112.0,13.1,19.87,46.01,0.0,4.32,0.0,F568-V1,LTG,,,,
9.0,111.0,26.4,22.99,44.52,0.0,3.01,0.0,F568-V1,LTG,,,,
9.72,111.0,19.4,26.1,43.69,0.0,2.45,0.0,F568-V1,LTG,,,,
11.79,113.0,12.5,34.23,40.77,0.0,1.17,0.0,F568-V1,LTG,,,,
17.63,118.0,14.6,36.03,33.12,0.0,0.0,0.0,F568-V1,LTG,,,,
0.22,12.4,7.0,0.92,38.29,0.0,1846.57,0.0,F571-8,LTG,,,,
0.78,37.5,4.0,2.67,85.69,0.0,705.48,0.0,F571-8,LTG,,,,
1.33,56.5,4.0,3.9,104.0,0.0,403.21,0.0,F571-8,LTG,,,,
2.33,69.1,4.0,5.34,114.45,0.0,121.25,0.0,F571-8,LTG,,,,
3.44,85.5,7.5,7.09,107.32,0.0,35.98,0.0,F571-8,LTG,,,,
3.78,87.1,8.4,7.29,103.7,0.0,25.02,0.0,F571-8,LTG,,,,
4.77,105.0,4.0,8.42,92.03,0.0,8.51,0.0,F571-8,LTG,,,,
5.44,112.0,6.7,8.94,86.43,0.0,6.64,0.0,F571-8,LTG,,,,
6.11,116.0,4.0,9.45,81.42,0.0,6.17,0.0,F571-8,LTG,,,,
7.22,124.0,4.0,10.47,76.23,0.0,5.4,0.0,F571-8,LTG,,,,
9.33,135.0,4.0,11.28,68.45,0.0,2.8,0.0,F571-8,LTG,,,,
