pl_name,pl_masse,pl_orbsmax
"HAT-P-13 b",287.95398000,0.0431000000
"HAT-P-16 b",1331.38987000,0.0413000000
"WASP-2 b",275.24078000,0.0307000000
"KELT-14 b",380.12468000,0.0295600000
"WASP-48 b",312.74472000,0.0344000000
"WASP-77 A b",559.38080000,0.0239600000
"TrES-2 b",457.67520000,0.0367000000
"CoRoT-1 b",340.07810000,0.0259000000
"HAT-P-1 b",168.13207000,0.0556100000
"HAT-P-22 b",682.69884000,0.0414000000
"TrES-4 b",291.45011000,0.0508400000
"WASP-12 b",638.83830000,0.0235000000
"WASP-1 b",268.88418000,0.0388900000
"WASP-33 b",1042.48240000,0.0259000000
"WASP-36 b",726.55938000,0.0264300000
"WASP-36 b",750.39663000,0.0267700000
"HD 209458 b",200.22000000,0.0467000000
"GJ 436 b",25.40000000,0.0308000000
"KOI-13 b",2637.88000000,
"WASP-67 b",129.03400000,0.0510000000
"WASP-104 b",404.26300000,0.0291800000
"WASP-94 A b",143.65300000,0.0550000000
"WASP-69 b",82.63200000,0.0452500000
"WASP-28 b",285.71700000,0.0445000000
"Qatar-2 b",792.63500000,0.0215300000
"HD 189733 b",369.30300000,
"HD 209458 b",203.40000000,
"XO-2 N b",189.73700000,0.0367300000
"Kepler-5 b",648.37320000,0.0496700000
"HAT-P-7 b",571.77617000,0.0380500000
"Kepler-6 b",201.18639000,0.0443800000
"TrES-2 b",383.30298000,0.0356700000
"CoRoT-1 b",327.36490000,0.0253600000
"CoRoT-2 b",1150.54460000,0.0285400000
"TrES-3 b",603.55917000,0.0227600000
"HAT-P-4 b",216.12440000,0.0446500000
"HD 80606 b",1307.55262000,0.4564000000
"WASP-7 b",305.11680000,0.0619000000
"WASP-3 b",645.19490000,0.0318500000
"XO-4 b",491.68301000,0.0547400000
"HAT-P-35 b",335.62848000,0.0497800000
"HD 114082 b",2542.62725600,0.5109000000
"WASP-58 b",285.72917000,0.0562000000
"HD 206893 b",8263.53858200,10.4000000000
"HD 206893 b",8899.19539600,9.6000000000
"HD 206893 c",4036.42076890,3.5300000000
"WASP-79 b",270.15414595,0.0519000000
"HAT-P-2 b",2866.81223114,
"HAT-P-2 c",3400.76395490,
"HAT-P-19 b",88.03846874,0.0459900000
"HIP 9618 c",18.30000000,0.2669000000
"WASP-20 b",98.84100000,0.0600000000
"K2-34 b",563.51259000,0.0445000000
"KOI-94 c",11.60000000,
"WASP-69 b",82.58000000,0.0453000000
"WASP-4 b",381.39408840,0.0226100000
"WASP-107 b",30.60000000,
"WASP-131 b",86.76715511,0.0608000000
"WASP-77 A b",529.31142902,0.0232336330
"KELT-11 b",65.15482343,0.0623000000
"WASP-4 b",380.56773454,
"WASP-6 b",148.42586607,
"WASP-96 b",149.37935129,
"WASP-121 b",371.85923619,0.0257100000
"WASP-76 b",276.51071409,0.0330000000
"TOI-7510 b",18.10000000,0.1019000000
"TOI-7510 c",131.00000000,0.1595000000
"TOI-7510 d",190.00000000,0.2672000000
"HD 206893 b",15255.76353600,10.4000000000
"HD 80606 b",1323.46926959,0.4603000000
"HAT-P-13 b",287.95253674,0.0438300000
"HAT-P-5 b",336.89811142,0.0407900000
"HAT-P-8 b",405.23121893,0.0439000000
"HAT-P-16 b",1332.65451055,0.0413000000
"WASP-21 b",87.72064033,0.0499000000
"WASP-19 b",362.00655557,0.0163400000
"WASP-103 b",467.20775829,0.0197800000
"WASP-52 b",137.93752864,0.0264300000
"KELT-16 b",861.31498297,0.0203500000
"TOI-7510 c",128.18019654,0.1575000000
"TOI-7510 d",245.61779293,0.2640000000
"KMT-2022-BLG-1818L b",1271.31362800,2.6000000000
"KMT-2022-BLG-1818L c",114.41822652,12.6000000000
"KMT-2022-BLG-1818L b",1357.12729789,2.6000000000
"KMT-2022-BLG-1818L c",146.20106722,13.3000000000
"KMT-2022-BLG-1818L b",476.74261050,1.5000000000
"KMT-2022-BLG-1818L c",111.23994245,0.4000000000
"KMT-2022-BLG-1818L b",908.98924402,2.1000000000
"KMT-2022-BLG-1818L c",276.51071409,0.5000000000
"TOI-5422 b",8899.19539600,0.0619000000
"KELT-6 b",139.84449908,
"WASP-8 b",696.04421133,
"WASP-38 b",858.13669890,
"GJ 436 b",21.72000000,
"WASP-29 b",77.54700000,0.0457000000
"HAT-P-16 b",1332.60500000,0.0413000000
"HAT-P-15 b",618.47100000,0.0964000000
"WASP-79 b",270.15550000,0.0519000000
"WASP-62 b",184.34140000,0.0571000000
"WASP-7 b",305.11680000,
"WASP-13 b",158.91500000,
"WASP-32 b",1144.18800000,
"WASP-69 b",82.63580000,0.0452500000
"HAT-P-41 b",254.26400000,
"WASP-18 b",3314.82000000,0.0200000000
"WASP-18 c",55.20000000,0.0350000000
"HAT-P-8 b",483.08000000,0.0487000000
"WASP-127 b",52.34660100,0.0484000000
"WASP-21 b",92.17070000,
"WASP-107 b",30.50000000,
"Kepler-5 b",671.86400000,0.0506400000
"Kepler-6 b",212.61900000,0.0456700000
"WASP-21 b",95.34500000,0.0520000000
"WASP-24 b",340.38200000,0.0365100000
"WASP-36 b",731.93200000,0.0264300000
"HAT-P-18 b",62.61000000,0.0559000000
"HAT-P-19 b",92.80200000,0.0466000000
"HAT-P-20 b",2302.89900000,0.0361000000
"HAT-P-22 b",682.35200000,0.0414000000
"HAT-P-23 b",664.23700000,0.0232000000
"WASP-37 b",572.07000000,0.0446000000
"WASP-32 b",1144.14000000,0.0394000000
"WASP-38 b",855.24500000,0.0752200000
"WASP-34 b",187.51000000,0.0524000000
"Qatar-1 b",346.42000000,0.0234300000
"TrES-1 b",238.36000000,0.0393000000
"HAT-P-1 b",168.44990000,0.0551000000
"WASP-1 b",282.86870000,0.0382000000
"WASP-2 b",279.68000000,0.0307000000
"WASP-107 b",38.13960000,0.0558000000
"WASP-10 b",1001.12000000,0.0378100000
"Kepler-12 b",137.30256000,0.0553000000
"WASP-76 b",292.40360000,0.0330000000
"HAT-P-8 b",406.82240000,
"XO-3 b",2316.98070000,
"KELT-3 b",616.59020000,
"WASP-121 b",367.72746690,0.0259600000
"WASP-26 b",324.18497514,0.0400000000
"XO-3 b",4211.22639275,0.0476000000
"K2-19 b",32.40000000,
"Kepler-423 b",192.60498000,0.0358200000
"HD 17156 b",1028.18005000,0.1627800000
"KELT-7 b",406.82240000,0.0441500000
