LID,m_LID,U-B20,B-V20,V-r20,n_Nobs,Nobs,Vmag,ref
1.00193664,,0.06,0.6,0.49,,2,,9001
1.00195593,,0.69,0.99,0.83,,2,,9001
1.00195636,,-0.03,0.59,0.57,,2,,9001
1.00196035,,-0.69,-0.14,-0.11,/,,6.46,9009
1.00196673,,0.92,1.11,0.76,,3,,9004
1.00196867,,-0.2,-0.07,-0.02,,2,,9001
1.00197076,,0.1,0.61,0.48,/,,6.4,9009
1.00197989,,0.88,1.06,0.77,,1,,9001
1.00198001,,0.02,0.01,0.02,,1,,9001
1.00198149,,0.64,0.94,0.71,,1,,9001
1.00198478,,-0.47,0.4,0.41,,2,,9001
1.00199939,,1.0,1.25,0.79,,2,,9004
1.00201091,,,1.15,1.03,,5,5.23,9007
1.00201092,,,1.35,1.22,,3,6.05,9007
1.00201626,,0.51,1.1,0.76,,4,,9004
1.0020328,,0.1,0.23,0.2,,3,,9001
1.0020328,,,0.24,0.19,,7,,9002
1.00203454,,-0.03,0.52,0.46,,1,,9001
1.00203608,,,0.5,0.41,,1,4.17,9007
1.00205512,,,1.11,0.8,,0,,9002
1.00205512,,,1.08,0.78,,10,,9003
1.00206165,,-0.55,0.28,0.28,,2,,9001
1.002091,,,1.02,0.87,,2,4.68,9007
1.00209621,,1.16,1.45,0.83,,3,,9004
1.00210027,,-0.02,0.44,0.38,,2,,9001
1.00210839,,-0.73,0.26,0.28,,1,,9001
1.00211336,,0.07,0.3,0.26,,1,,9001
1.0021468,,-1.04,-0.2,-0.11,,29,,9001
1.0021468,,,-0.21,-0.12,,9,,9002
1.00215182,,0.57,0.87,0.65,,2,,9001
1.00215648,,-0.01,0.51,0.43,,2,,9001
1.00216735,,-0.04,-0.01,-0.02,,2,,9001
1.00216803,,,1.06,0.9,,2,6.47,9007
1.00217357,,,1.36,1.19,,2,7.86,9007
1.00218329,,1.87,1.56,1.27,,1,,9001
1.00218329,,,1.54,1.26,,7,,9002
1.00218658,,,0.82,0.63,,3,,9003
1.00219134,,0.89,1.01,0.84,,25,,9001
1.00219134,,,1.02,0.85,,0,,9002
1.00219134,,,1.0,0.84,,15,5.53,9007
1.00219617,,-0.18,0.47,0.43,,3,,9001
1.00220657,,0.17,0.6,0.49,,2,,9001
1.0022117,,,1.04,0.91,,0,,9002
1.0022117,,,1.08,0.9,,8,,9003
1.00222107,,0.71,1.02,0.82,,2,,9001
1.00222107,,,1.02,0.81,,0,,9002
1.00222107,,,1.02,0.81,,4,,9003
1.00222237,,,0.96,0.84,,2,7.08,9007
1.00222368,,0.01,0.52,0.43,,4,,9001
1.00222368,,,0.51,0.39,,8,,9002
1.00222439,,-0.24,-0.08,-0.08,,3,,9001
1.00222439,,,-0.07,-0.05,,7,,9002
1.00223778,,,0.95,0.83,,3,6.34,9007
